case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,parallel_telephone_exchange_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,government_telecom_revenue_loss,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,telegraph_act_sections,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100208,High Court,Sec 482 CrPC (Quashing),2,6,46,1,0,1,1,1,0,1,1,1,0.8725,1,156,1,1,1,1,1,1,1,0.6514,232,4.524,25.43,1,1,1,1349967.6,0.1119,1,8,0.2204,0.1003,3,1,1,1,1
NCRB-SYNTH-100212,High Court,Sec 482 CrPC (Quashing),1,19,31,1,1,1,1,1,0,1,1,1,0.5433,1,284,1,0,1,1,1,1,1,0.5283,273,7.9544,75.33,1,1,1,918370.96,0.0455,1,1,0.9155,1.3207,1,1,1,1,0
NCRB-SYNTH-100213,High Court,Sec 439 CrPC (Regular Bail),2,13,16,0,0,1,1,1,0,1,1,1,0.5745,1,293,1,0,1,1,1,1,1,0.7662,101,10.7422,53.0,1,1,1,2089153.72,0.0445,1,3,0.6552,0.4726,1,1,1,1,0
NCRB-SYNTH-100219,Trial Court,Sec 439 CrPC (Regular Bail),1,4,10,1,1,1,1,1,1,1,1,1,0.8875,1,149,1,1,1,1,1,1,1,0.4842,454,6.2195,38.4,1,1,1,221866.57,0.0406,1,1,0.6036,0.8709,1,1,1,1,1
NCRB-SYNTH-100221,Supreme Court,Sec 439 CrPC (Regular Bail),1,9,57,1,0,1,1,1,1,1,1,1,0.6689,1,280,0,0,1,1,1,1,1,0.7152,242,8.022,44.15,1,1,1,1990106.06,0.0364,1,44,0.2903,0.0763,4,1,1,1,0
NCRB-SYNTH-100222,High Court,Sec 482 CrPC (Quashing),1,24,60,1,1,1,1,1,0,1,1,1,0.4465,1,115,1,1,1,1,1,1,1,0.477,289,6.7599,66.84,1,1,1,925599.16,0.0567,1,43,0.1675,0.0443,4,1,1,0,0
NCRB-SYNTH-100230,High Court,Sec 482 CrPC (Quashing),27,21,23,1,0,1,1,1,0,1,1,1,0.6254,1,226,1,1,1,1,1,1,1,0.393,198,8.3216,33.84,1,1,1,1512047.26,0.1924,1,2,0.6558,0.5969,1,1,1,1,0
NCRB-SYNTH-100233,High Court,Sec 439 CrPC (Regular Bail),1,16,21,0,1,1,1,1,0,1,1,1,0.6468,1,209,0,0,1,1,1,1,1,0.764,184,6.5492,26.05,1,1,1,1396659.37,0.0286,1,9,0.1759,0.0764,3,1,1,1,0
NCRB-SYNTH-100239,High Court,Sec 439 CrPC (Regular Bail),1,9,58,1,0,1,1,1,1,1,1,1,0.5463,1,113,1,1,1,1,1,1,1,0.6891,132,7.716,33.82,1,1,1,1673454.55,0.0874,1,9,0.1271,0.0552,3,1,1,0,0
NCRB-SYNTH-100256,Supreme Court,Sec 439 CrPC (Regular Bail),1,3,50,1,0,1,1,1,0,1,1,1,0.4989,1,206,1,1,1,1,1,1,1,0.858,379,8.2978,33.4,1,1,1,2019392.98,0.1486,1,4,0.0655,0.0407,3,1,1,1,0
NCRB-SYNTH-100258,High Court,Sec 482 CrPC (Quashing),1,24,77,1,1,1,1,1,0,1,1,1,0.4371,1,148,1,1,1,1,1,1,1,0.7993,354,10.2709,57.01,1,1,1,745971.33,0.0592,1,2,0.7964,0.7249,1,1,1,1,0
NCRB-SYNTH-100259,High Court,Sec 439 CrPC (Regular Bail),1,13,11,0,0,1,1,1,0,1,1,1,0.4634,1,249,1,1,1,1,1,1,1,0.6633,169,5.9466,50.2,1,1,1,1660358.76,0.0744,1,41,0.2228,0.0596,4,1,1,1,0
NCRB-SYNTH-100261,Supreme Court,Writ Petition (Detention),1,9,71,1,0,1,1,1,0,1,1,1,0.502,1,187,1,1,1,1,1,1,1,0.6743,136,5.3118,76.68,1,1,1,2280918.08,0.0492,1,1,0.478,0.6896,1,1,1,1,0
NCRB-SYNTH-100267,High Court,Sec 439 CrPC (Regular Bail),21,22,66,1,0,1,1,1,0,1,1,1,0.7095,1,208,1,1,1,1,1,1,1,0.8055,311,4.2008,69.84,1,1,1,1931628.6,0.0764,1,21,0.2389,0.0773,4,1,1,1,1
NCRB-SYNTH-100278,High Court,Sec 439 CrPC (Regular Bail),1,4,23,1,0,1,1,1,0,1,1,1,0.6374,1,136,1,1,1,1,1,1,1,0.8767,255,13.2193,28.08,1,1,1,2162748.89,0.1455,1,9,0.1041,0.0452,3,1,1,0,0
NCRB-SYNTH-100285,Supreme Court,Sec 439 CrPC (Regular Bail),1,3,53,1,0,1,1,1,1,1,1,1,0.8865,1,196,1,1,1,1,1,1,1,0.6348,108,6.3745,41.68,1,1,1,209681.66,0.0577,1,5,0.15,0.0837,3,1,1,1,1
NCRB-SYNTH-100290,High Court,Sec 439 CrPC (Regular Bail),2,14,75,0,1,1,1,1,1,1,1,1,0.4942,1,182,0,0,1,1,1,1,1,0.6641,203,11.5802,73.26,1,1,1,1537502.59,0.0718,1,1,0.5606,0.8088,1,1,1,1,0
NCRB-SYNTH-100299,High Court,Sec 482 CrPC (Quashing),2,19,46,1,1,1,1,1,0,1,1,1,0.6706,1,177,1,1,1,1,1,1,1,0.835,387,8.1291,84.71,1,1,1,548057.86,0.0598,1,8,0.0552,0.0251,3,1,1,0,1
NCRB-SYNTH-100304,High Court,Sec 482 CrPC (Quashing),1,18,56,1,0,1,1,1,1,1,1,1,0.4703,1,236,1,1,1,1,1,1,1,1.0,360,12.9265,72.55,1,1,1,1960945.41,0.1036,1,10,0.0635,0.0265,3,1,1,1,0
NCRB-SYNTH-100316,Supreme Court,Sec 439 CrPC (Regular Bail),1,5,70,1,0,1,1,1,0,1,1,1,0.7832,1,149,1,1,1,1,1,1,1,0.4926,311,13.8686,47.27,1,1,1,1131296.92,0.1985,1,19,0.3016,0.1007,4,1,1,1,1
NCRB-SYNTH-100323,High Court,Writ Petition (Detention),2,16,36,1,0,1,1,1,1,1,1,1,0.7883,1,219,1,1,1,1,1,1,1,0.8641,406,10.3935,35.13,1,1,1,886071.13,0.1964,1,11,0.1848,0.0744,3,1,1,1,1
NCRB-SYNTH-100327,High Court,Sec 482 CrPC (Quashing),2,14,58,1,1,1,1,1,0,1,1,1,0.707,1,145,1,1,1,1,1,1,1,0.7247,254,10.1347,88.16,1,1,1,628845.9,0.0162,1,6,0.0742,0.0381,3,1,1,1,1
NCRB-SYNTH-100328,Supreme Court,Sec 439 CrPC (Regular Bail),2,11,69,1,0,1,1,1,0,1,1,1,0.573,1,121,1,1,1,1,1,1,1,0.6434,328,9.3393,71.92,1,1,1,2024324.4,0.1804,1,3,0.5215,0.3762,1,1,1,0,0
NCRB-SYNTH-100346,High Court,Sec 439 CrPC (Regular Bail),1,17,79,1,1,1,1,1,0,1,1,1,0.9713,1,258,1,1,1,1,1,1,1,0.5513,377,9.3392,28.57,1,1,1,1269815.02,0.0549,1,7,0.0968,0.0465,3,1,1,1,1
NCRB-SYNTH-100347,High Court,Sec 439 CrPC (Regular Bail),2,15,54,1,0,1,1,1,0,1,1,1,0.7714,1,211,1,1,1,1,1,1,1,0.6766,500,7.1067,20.31,1,1,1,1822643.38,0.0304,1,1,0.452,0.6521,1,1,1,1,1
NCRB-SYNTH-100350,High Court,Sec 482 CrPC (Quashing),2,4,10,1,1,1,1,1,0,1,1,1,0.9053,1,247,1,1,1,1,1,1,1,0.7412,276,11.8389,45.31,1,1,1,509715.53,0.035,1,7,0.1858,0.0894,3,1,1,1,1
NCRB-SYNTH-100353,High Court,Sec 439 CrPC (Regular Bail),2,24,22,1,0,1,1,1,0,1,1,1,0.8797,1,195,1,1,1,1,1,1,1,0.5297,166,6.6684,78.85,1,1,1,1091929.96,0.1363,1,9,0.0547,0.0237,3,1,1,1,1
NCRB-SYNTH-100356,High Court,Sec 482 CrPC (Quashing),7,10,47,1,0,1,1,1,0,1,1,1,0.8218,1,242,1,1,1,1,1,1,1,0.3506,118,3.8299,54.19,1,1,1,86916.31,0.1566,1,3,0.9116,0.6576,1,1,1,1,1
NCRB-SYNTH-100358,Supreme Court,Sec 482 CrPC (Quashing),4,6,26,1,0,1,1,1,0,1,1,1,0.6705,1,290,1,1,1,1,1,1,1,0.7019,273,8.0875,54.39,1,1,1,1833720.38,0.0896,1,4,0.0832,0.0517,3,1,1,1,1
NCRB-SYNTH-100360,High Court,Sec 482 CrPC (Quashing),1,17,47,1,0,1,1,1,0,1,1,1,0.6849,1,216,1,1,1,1,1,1,1,0.6905,227,13.1054,34.65,1,1,1,2169374.79,0.1929,1,8,0.09,0.041,3,1,1,1,1
NCRB-SYNTH-100362,High Court,Sec 482 CrPC (Quashing),1,7,10,0,1,1,1,1,0,1,1,1,0.45,1,219,1,1,1,1,1,1,1,0.9082,286,6.7305,56.49,1,1,1,1754463.38,0.1347,1,11,0.0979,0.0394,3,1,1,1,0
NCRB-SYNTH-100374,High Court,Trial Judgment,2,3,10,1,1,1,1,1,0,1,1,1,0.4072,1,135,1,0,1,1,1,1,1,0.7682,247,10.5429,87.51,1,1,1,1592882.02,0.0208,1,13,0.0919,0.0348,4,1,1,0,0
NCRB-SYNTH-100382,High Court,Sec 439 CrPC (Regular Bail),1,11,39,1,0,1,1,1,1,1,1,1,0.4561,1,266,1,1,1,1,1,1,1,0.5342,157,13.3855,21.76,1,1,1,172133.8,0.027,1,1,0.8475,1.2226,1,1,1,1,0
NCRB-SYNTH-100383,High Court,Sec 439 CrPC (Regular Bail),1,25,16,1,0,1,1,1,0,1,1,1,0.8399,1,280,1,1,1,1,1,1,1,0.8877,432,7.3345,51.76,1,1,1,109402.64,0.1532,1,6,0.0836,0.043,3,1,1,0,1
NCRB-SYNTH-100414,Trial Court,Trial Judgment,1,12,29,0,0,1,1,1,0,1,1,1,0.684,1,212,0,0,1,1,1,1,1,0.5561,448,4.14,83.31,1,1,1,591236.83,0.1613,1,1,0.6375,0.9198,1,1,1,1,0
NCRB-SYNTH-100415,High Court,Sec 482 CrPC (Quashing),2,4,53,1,0,1,1,1,0,1,1,1,0.4329,1,205,1,1,1,1,1,1,1,0.8358,449,6.3685,36.39,1,1,1,402384.06,0.1551,1,8,0.0556,0.0253,3,1,1,1,0
NCRB-SYNTH-100419,Supreme Court,Writ Petition (Detention),1,25,22,0,0,1,1,1,0,1,1,1,0.5304,1,205,1,1,1,1,1,1,1,0.7649,478,6.0549,18.29,1,1,1,1753710.16,0.0854,1,4,0.1935,0.1202,3,1,1,1,0
NCRB-SYNTH-100433,High Court,Sec 439 CrPC (Regular Bail),15,25,48,1,1,1,1,1,0,1,1,1,0.8096,1,195,1,1,1,1,1,1,1,0.7448,240,10.4927,33.5,1,1,1,1450380.72,0.1582,1,22,0.1559,0.0497,4,1,1,1,1
NCRB-SYNTH-100452,High Court,Sec 439 CrPC (Regular Bail),1,21,29,1,1,1,1,1,0,1,1,1,0.5762,1,266,0,0,1,1,1,1,1,0.8323,255,11.6474,63.01,1,1,1,2275881.3,0.1731,1,11,0.0555,0.0223,3,1,1,1,0
NCRB-SYNTH-100462,High Court,Sec 439 CrPC (Regular Bail),1,7,14,1,0,1,1,1,0,1,1,1,0.7091,1,261,1,0,1,1,1,1,1,0.7176,236,11.2288,58.66,1,1,1,589531.8,0.0226,1,4,0.1926,0.1196,3,1,1,1,1
NCRB-SYNTH-100464,Supreme Court,Writ Petition (Detention),15,12,61,1,0,1,1,1,1,1,1,1,0.9208,1,196,1,1,1,1,1,1,1,0.5568,121,6.7435,51.1,1,1,1,2466832.54,0.1726,1,3,0.7945,0.5731,1,1,1,1,1
NCRB-SYNTH-100478,Supreme Court,Sec 439 CrPC (Regular Bail),2,9,34,1,0,1,1,1,0,1,1,1,0.862,1,263,1,1,1,1,1,1,1,0.7958,371,6.1656,32.48,1,1,1,1546182.06,0.012,1,5,0.1502,0.0838,3,1,1,1,1
NCRB-SYNTH-100481,High Court,Sec 482 CrPC (Quashing),1,13,21,0,0,1,1,1,0,1,1,1,0.5256,1,157,1,0,1,1,1,1,1,0.6462,296,8.807,53.83,1,1,1,2154043.39,0.0193,1,27,0.0997,0.0299,4,1,1,1,0
NCRB-SYNTH-100482,High Court,Sec 482 CrPC (Quashing),2,21,65,1,0,1,1,1,0,1,1,1,0.7179,1,285,0,0,1,1,1,1,1,0.5122,442,5.6684,21.19,1,1,1,212303.34,0.1134,1,3,0.4732,0.3413,1,1,1,1,0
NCRB-SYNTH-100484,High Court,Sec 482 CrPC (Quashing),1,5,10,1,1,1,1,1,1,1,1,1,0.4915,1,140,0,0,1,1,1,1,1,0.6532,452,11.1364,58.69,1,1,1,2029198.84,0.0185,1,5,0.0807,0.045,3,1,1,1,0
NCRB-SYNTH-100485,High Court,Sec 482 CrPC (Quashing),1,9,58,1,1,1,1,1,0,1,1,1,0.4228,1,124,1,1,1,1,1,1,1,0.5117,420,4.735,89.95,1,1,1,1370819.41,0.1456,1,3,0.8678,0.626,1,1,1,0,0
NCRB-SYNTH-100492,Supreme Court,Sec 482 CrPC (Quashing),1,8,76,1,0,1,1,1,0,1,1,1,0.8931,1,283,1,1,1,1,1,1,1,0.8342,310,12.6513,44.98,1,1,1,1076824.88,0.1644,1,45,0.2806,0.0733,4,1,1,1,1
NCRB-SYNTH-100497,Trial Court,Sec 482 CrPC (Quashing),2,15,31,1,1,1,1,1,0,1,1,1,0.5134,1,212,1,1,1,1,1,1,1,0.7845,223,7.59,72.49,1,1,1,216699.21,0.1706,1,8,0.0983,0.0448,3,1,1,1,0
NCRB-SYNTH-100501,High Court,Trial Judgment,1,16,40,0,0,1,1,1,0,1,1,1,0.917,1,210,1,1,1,1,1,1,1,0.7252,132,12.5221,59.98,1,1,1,2161729.58,0.1384,1,3,0.7682,0.5541,1,1,1,1,1
NCRB-SYNTH-100505,High Court,Sec 439 CrPC (Regular Bail),1,20,10,1,0,1,1,1,0,1,1,1,0.5689,1,278,1,1,1,1,1,1,1,0.541,343,11.5157,45.33,1,1,1,486187.51,0.0236,1,1,0.6164,0.8892,1,1,1,1,0
NCRB-SYNTH-100511,High Court,Sec 439 CrPC (Regular Bail),1,12,36,1,0,1,1,1,0,1,1,1,0.8903,1,261,1,0,1,1,1,1,1,0.7469,455,3.7359,77.95,1,1,1,1562552.98,0.1876,1,2,0.4723,0.4299,1,1,1,1,1
NCRB-SYNTH-100521,High Court,Trial Judgment,1,17,11,1,0,1,1,1,0,1,1,1,0.8075,1,131,1,1,1,1,1,1,1,0.6109,363,13.7025,62.03,1,1,1,859032.39,0.0667,1,2,0.5692,0.5181,1,1,1,1,1
NCRB-SYNTH-100534,Trial Court,Trial Judgment,1,23,10,1,0,1,1,1,0,1,1,1,0.5857,1,165,1,1,1,1,1,1,1,0.654,209,11.5893,43.38,1,1,1,1752276.35,0.146,1,1,0.6795,0.9803,1,1,1,1,0
NCRB-SYNTH-100542,High Court,Sec 482 CrPC (Quashing),1,20,51,1,1,1,1,1,0,1,1,1,0.4665,1,242,1,0,1,1,1,1,1,0.6373,389,13.272,38.98,1,1,1,1812429.53,0.1299,1,1,0.8847,1.2764,1,1,1,1,0
NCRB-SYNTH-100544,High Court,Sec 439 CrPC (Regular Bail),2,13,17,1,0,1,1,1,0,1,1,1,0.954,1,187,1,1,1,1,1,1,1,0.476,333,9.432,75.78,1,1,1,1549280.01,0.1234,1,17,0.2327,0.0805,4,1,1,1,1
NCRB-SYNTH-100545,High Court,Trial Judgment,1,20,44,1,0,1,1,1,1,1,1,1,0.8945,1,132,1,1,1,1,1,1,1,0.7278,150,12.0065,81.16,1,1,1,1660330.82,0.0029,1,8,0.0615,0.028,3,1,1,0,1
NCRB-SYNTH-100548,High Court,Sec 439 CrPC (Regular Bail),7,19,44,1,0,1,1,1,0,1,1,1,0.8715,1,209,0,1,1,1,1,1,1,0.6798,169,10.1968,81.31,1,1,1,891345.65,0.1077,1,3,0.8822,0.6364,1,1,1,1,0
NCRB-SYNTH-100553,High Court,Sec 482 CrPC (Quashing),1,5,16,0,0,1,1,1,0,1,1,1,0.4804,1,288,1,1,1,1,1,1,1,0.5863,246,6.7281,19.65,1,1,1,1422856.89,0.034,1,1,0.4231,0.6104,1,1,1,1,0
NCRB-SYNTH-100554,High Court,Sec 439 CrPC (Regular Bail),1,25,32,0,1,1,1,1,0,1,1,1,0.6561,1,164,1,1,1,1,1,1,1,0.5748,112,5.6312,63.67,1,1,1,425731.23,0.0186,1,11,0.0608,0.0245,3,1,1,0,1
NCRB-SYNTH-100560,Supreme Court,Sec 482 CrPC (Quashing),1,5,32,1,1,1,1,1,0,1,1,1,0.8835,1,134,1,1,1,1,1,1,1,0.4174,442,9.8531,55.24,1,1,1,1831910.5,0.1234,1,35,0.2781,0.0776,4,1,1,1,1
NCRB-SYNTH-100566,Supreme Court,Sec 482 CrPC (Quashing),1,24,55,1,0,1,1,1,0,1,1,1,0.702,1,237,1,1,1,1,1,1,1,0.6493,391,4.7958,57.33,1,1,1,878794.64,0.0933,1,34,0.1294,0.0364,4,1,1,1,1
NCRB-SYNTH-100574,High Court,Sec 482 CrPC (Quashing),1,4,28,1,0,1,1,1,0,1,1,1,0.4398,1,248,1,1,1,1,1,1,1,0.7914,231,4.5942,68.3,1,1,1,696914.35,0.1323,1,11,0.0932,0.0375,3,1,1,0,0
NCRB-SYNTH-100585,Trial Court,Sec 482 CrPC (Quashing),21,10,22,1,0,1,1,1,0,1,1,1,0.683,1,174,0,0,1,1,1,1,1,0.6699,288,12.0169,66.58,1,1,1,237157.12,0.1568,1,5,0.1247,0.0696,3,1,1,1,0
NCRB-SYNTH-100592,High Court,Writ Petition (Detention),7,18,59,1,1,1,1,1,0,1,1,1,0.3623,1,162,0,0,1,1,1,1,1,0.7648,496,11.1049,71.73,1,1,1,2378401.55,0.1965,1,7,0.2345,0.1128,3,1,1,1,0
NCRB-SYNTH-100597,High Court,Sec 439 CrPC (Regular Bail),2,18,40,1,0,1,1,1,0,1,1,1,0.6502,1,277,0,0,1,1,1,1,1,0.769,190,5.1049,28.38,1,1,1,1347378.3,0.0158,1,29,0.2184,0.0642,4,1,1,1,0
NCRB-SYNTH-100610,Trial Court,Sec 482 CrPC (Quashing),1,25,47,1,1,1,1,1,1,1,1,1,0.5738,1,173,1,1,1,1,1,1,1,0.443,428,12.2082,28.13,1,1,1,1499767.34,0.1463,1,2,0.548,0.4988,1,1,1,1,0
NCRB-SYNTH-100613,High Court,Writ Petition (Detention),1,11,66,1,0,1,1,1,0,1,1,1,0.8539,1,231,1,1,1,1,1,1,1,0.7028,421,10.0571,54.63,1,1,1,412582.55,0.1134,1,7,0.0745,0.0358,3,1,1,1,1
NCRB-SYNTH-100625,High Court,Writ Petition (Detention),1,13,17,1,0,1,1,1,1,1,1,1,0.9496,1,226,1,1,1,1,1,1,1,0.8151,300,5.0989,20.77,1,1,1,2276715.8,0.1117,1,31,0.1762,0.0508,4,1,1,1,1
NCRB-SYNTH-100647,Supreme Court,Sec 439 CrPC (Regular Bail),21,12,23,1,0,1,1,1,1,1,1,1,0.801,1,243,0,0,1,1,1,1,1,0.7112,133,3.6462,25.77,1,1,1,1024056.68,0.0974,1,11,0.0824,0.0332,3,1,1,1,0
