case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,fake_call_center_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,vishing_indicator,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fraudulent_website_count,payment_gateway_count,linked_beneficiary_account_count,card_credential_harvesting_indicator,it_act_66c,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100061,Trial Court,Writ Petition (Detention),1,16,52,1,0,1,1,1,1,1,1,1,1,0.9651,1,16,1,1,1,1,1,1,1,0.4401,136,5.6886,124.47,1,1,2808906.89,0.1481,1,1,3.25,1,2,9,0,1,1,1,0,11,0.1326,0.0533,5,1,1,0,1
NCRB-SYNTH-100064,Trial Court,Sec 439 CrPC (Regular Bail),2,6,13,1,0,1,1,1,1,1,1,1,1,0.521,1,160,0,0,1,0,1,0,1,0.7032,54,5.7117,83.95,1,1,3131657.94,0.0115,0,1,10.96,3,2,3,1,1,0,0,1,17,0.0851,0.0295,4,1,1,1,0
NCRB-SYNTH-100066,High Court,Sec 482 CrPC (Quashing),4,24,82,1,0,1,1,1,0,1,1,1,1,0.4276,1,89,1,1,1,1,1,1,1,0.6833,49,7.644,180.52,1,1,2620075.15,0.1427,1,1,1.61,1,4,9,1,1,1,1,0,11,0.0549,0.0221,3,1,1,0,0
NCRB-SYNTH-100079,High Court,Sec 439 CrPC (Regular Bail),1,5,70,1,0,1,1,1,1,1,1,1,1,0.7545,1,60,1,1,1,1,0,0,1,0.9511,55,5.3683,229.3,1,1,2911249.24,0.0303,0,1,20.39,2,4,5,1,1,0,0,1,4,0.0589,0.0366,3,1,1,0,1
NCRB-SYNTH-100090,High Court,Sec 439 CrPC (Regular Bail),1,3,35,1,0,1,1,1,0,1,1,1,1,0.9283,1,164,1,1,1,1,1,1,1,0.5364,150,5.8003,277.01,1,1,415992.26,0.0242,1,1,9.65,4,2,8,1,1,1,1,0,20,0.0849,0.0279,4,1,1,0,1
NCRB-SYNTH-100096,Trial Court,Sec 439 CrPC (Regular Bail),1,4,66,1,0,1,1,1,0,1,1,1,1,0.959,1,106,0,0,1,0,0,0,1,0.5783,60,7.3965,274.84,1,1,2917712.39,0.0613,0,1,13.03,2,3,10,1,1,1,1,0,2,0.8046,0.7324,1,1,1,0,0
NCRB-SYNTH-100097,High Court,Sec 439 CrPC (Regular Bail),2,25,43,0,0,1,1,1,1,1,1,1,1,0.4083,1,162,1,1,1,1,1,0,1,0.5343,76,3.5259,46.23,1,1,1221957.61,0.0847,0,1,21.59,2,1,8,1,1,1,1,0,31,0.2868,0.0828,4,1,1,1,0
NCRB-SYNTH-100098,High Court,Trial Judgment,1,10,7,1,0,1,1,1,1,1,1,1,1,0.7273,1,119,1,1,1,1,1,1,1,0.7569,114,4.7198,277.81,1,1,3490065.53,0.0651,0,1,8.11,3,4,2,1,1,1,1,0,9,0.1224,0.0531,5,1,1,0,1
NCRB-SYNTH-100104,Trial Court,Sec 439 CrPC (Regular Bail),27,25,62,1,0,1,1,1,1,1,1,1,1,0.723,1,71,1,1,1,1,1,1,1,0.5981,50,6.8092,192.83,1,1,3642643.37,0.0957,1,1,7.79,4,4,9,1,1,1,1,0,9,0.1923,0.0835,3,1,1,0,1
NCRB-SYNTH-100107,Trial Court,Sec 482 CrPC (Quashing),4,22,72,1,0,1,1,1,0,1,1,1,1,0.7133,1,130,1,1,1,1,1,1,1,0.9118,44,5.7899,160.18,1,1,3846581.02,0.109,0,1,1.15,2,1,10,0,1,0,0,1,5,0.1239,0.0691,5,1,1,0,1
NCRB-SYNTH-100120,High Court,Sec 439 CrPC (Regular Bail),4,17,62,1,0,1,1,1,0,1,1,1,1,0.8378,1,65,1,1,1,1,1,1,1,0.8299,65,4.2872,265.78,1,1,757294.98,0.0346,1,1,8.86,2,3,9,1,1,0,0,1,10,0.0672,0.028,5,1,1,1,1
NCRB-SYNTH-100126,High Court,Sec 482 CrPC (Quashing),27,20,57,1,1,1,1,1,0,1,1,1,1,0.4113,0,36,1,1,1,1,1,1,1,0.7017,75,7.7973,89.74,1,1,1830792.11,0.1644,0,1,3.6,4,3,5,1,1,1,1,0,6,0.1841,0.0946,3,1,1,0,0
NCRB-SYNTH-100130,Trial Court,Sec 482 CrPC (Quashing),2,12,14,1,0,1,1,1,0,1,1,1,1,0.8529,1,85,1,1,1,1,0,0,1,0.7457,113,6.0622,243.75,1,1,1839810.96,0.1282,1,1,14.91,5,3,10,1,1,0,0,1,6,0.0809,0.0416,5,1,1,0,1
NCRB-SYNTH-100131,High Court,Sec 439 CrPC (Regular Bail),1,21,82,1,0,1,1,1,1,1,1,1,1,0.8321,1,144,1,1,1,1,1,1,1,0.6681,117,3.937,250.93,1,1,549088.09,0.1176,1,1,36.59,5,2,9,1,1,1,1,0,11,0.195,0.0785,5,1,1,1,1
NCRB-SYNTH-100137,High Court,Sec 439 CrPC (Regular Bail),1,16,85,1,0,1,1,1,1,1,1,1,1,0.6539,1,84,0,0,1,1,1,1,1,0.7174,114,3.8216,76.72,1,1,539565.03,0.1069,1,1,8.39,4,3,4,1,1,1,1,0,37,0.098,0.027,4,1,1,1,0
NCRB-SYNTH-100139,High Court,Sec 482 CrPC (Quashing),1,24,67,0,0,1,1,1,1,1,1,1,1,0.635,1,165,0,0,1,0,0,1,1,0.6635,125,7.1518,267.79,1,1,2134336.69,0.0464,1,1,17.08,3,4,6,1,1,0,0,1,7,0.1788,0.086,5,1,1,1,0
NCRB-SYNTH-100143,Trial Court,Sec 439 CrPC (Regular Bail),1,16,65,1,0,1,1,1,1,1,1,1,1,0.8946,1,118,1,1,1,0,0,0,1,0.7669,78,5.0307,122.65,1,1,2932719.27,0.1449,1,1,6.33,5,3,9,1,1,1,1,0,8,0.1566,0.0713,5,1,1,1,1
NCRB-SYNTH-100148,High Court,Sec 439 CrPC (Regular Bail),15,16,50,1,0,1,1,1,0,1,1,1,1,0.7896,1,171,1,1,1,1,1,1,1,0.749,141,6.232,129.08,1,1,1852666.86,0.1941,0,1,6.14,4,4,8,1,1,1,1,0,5,0.1411,0.0788,5,1,1,1,1
NCRB-SYNTH-100154,Trial Court,Writ Petition (Detention),2,4,41,1,0,1,1,1,1,1,1,1,1,0.6673,1,109,1,1,1,1,1,0,1,0.5951,88,6.1782,226.77,1,1,4109859.6,0.1778,0,1,2.59,3,4,2,0,1,1,1,0,5,0.1193,0.0666,5,1,1,1,1
NCRB-SYNTH-100161,High Court,Sec 439 CrPC (Regular Bail),21,8,7,1,0,1,1,1,1,1,1,1,1,0.8008,1,81,0,0,1,0,1,0,1,0.5819,93,4.1727,159.2,1,1,1617768.56,0.1053,1,1,5.83,1,3,4,0,1,1,1,0,8,0.2047,0.0932,5,1,1,1,0
NCRB-SYNTH-100164,High Court,Sec 439 CrPC (Regular Bail),2,5,23,1,0,1,1,1,1,1,1,1,1,0.8479,1,93,1,1,1,0,1,1,1,0.5907,42,4.8231,78.13,1,1,3008740.26,0.1763,0,1,2.36,2,4,9,0,1,1,1,0,8,0.148,0.0674,5,1,1,0,1
NCRB-SYNTH-100173,Trial Court,Sec 439 CrPC (Regular Bail),21,21,83,1,0,1,1,1,1,1,1,1,1,0.4953,1,81,1,1,1,0,1,0,1,0.9319,135,4.5214,191.25,1,1,3820578.33,0.0067,0,1,3.0,2,3,4,1,1,1,1,0,35,0.3127,0.0873,4,1,1,0,0
NCRB-SYNTH-100178,High Court,Sec 439 CrPC (Regular Bail),2,3,28,1,0,1,1,1,0,1,1,1,1,0.736,1,81,1,1,1,1,1,1,1,0.8321,67,7.6966,221.49,1,1,691654.04,0.1415,1,1,35.56,2,2,10,1,1,1,1,0,7,0.121,0.0582,3,1,1,1,1
NCRB-SYNTH-100189,Trial Court,Sec 482 CrPC (Quashing),4,23,78,1,0,1,1,1,1,1,1,1,1,0.423,1,83,1,1,1,0,0,0,1,0.4829,144,4.7099,168.6,1,1,1338086.75,0.0102,1,1,5.76,1,2,4,0,1,1,1,0,1,0.9113,1.3148,1,1,1,1,0
NCRB-SYNTH-100211,High Court,Sec 482 CrPC (Quashing),7,17,62,0,0,1,1,1,1,1,1,1,1,0.8294,0,124,1,0,1,0,1,1,1,0.8555,56,4.8921,285.17,1,1,1079237.8,0.0707,1,1,1.78,5,3,10,1,1,0,0,1,35,0.1191,0.0332,4,1,1,0,1
NCRB-SYNTH-100224,Trial Court,Writ Petition (Detention),21,13,95,1,0,1,1,1,0,1,1,1,1,0.6294,1,115,1,1,1,0,1,1,1,0.8119,74,5.8604,212.28,1,1,2527813.45,0.1057,1,1,2.94,1,4,9,0,1,1,1,0,2,0.6867,0.625,1,1,1,1,1
NCRB-SYNTH-100228,High Court,Sec 439 CrPC (Regular Bail),1,24,19,1,0,1,1,1,0,1,1,1,1,0.5354,1,50,1,1,1,1,1,1,1,0.3649,149,5.6203,269.11,1,1,3142674.24,0.1452,0,1,9.78,3,1,5,0,1,1,1,0,11,0.226,0.0909,5,1,1,0,0
NCRB-SYNTH-100232,Trial Court,Writ Petition (Detention),1,4,78,1,0,1,1,1,0,1,1,1,1,0.5992,1,23,0,1,1,1,1,1,1,0.7629,120,7.4551,258.84,1,1,2714414.61,0.0305,1,1,5.13,3,1,3,1,1,1,1,0,23,0.1386,0.0436,4,1,1,0,0
NCRB-SYNTH-100234,High Court,Sec 482 CrPC (Quashing),1,23,91,1,0,1,1,1,0,1,1,1,1,0.5973,1,68,1,1,1,1,0,1,1,0.7237,99,5.8563,176.25,1,1,3321239.59,0.0141,0,1,3.99,2,2,8,1,1,1,1,0,1,0.8238,1.1885,1,1,1,0,0
NCRB-SYNTH-100244,High Court,Writ Petition (Detention),4,15,63,1,0,1,1,1,0,1,1,1,1,0.5716,0,44,1,1,1,1,1,1,1,0.6885,64,3.6338,227.46,1,1,1200439.63,0.0263,1,1,1.63,2,3,10,1,1,1,1,0,4,0.1621,0.1007,5,1,1,0,0
NCRB-SYNTH-100247,High Court,Sec 439 CrPC (Regular Bail),1,4,74,1,0,1,1,1,1,1,1,1,1,0.4602,1,40,1,1,1,0,1,1,1,0.6249,52,4.2216,85.01,1,1,661613.89,0.084,0,1,24.63,3,2,5,1,1,1,1,0,6,0.134,0.0689,5,1,1,0,0
NCRB-SYNTH-100252,Trial Court,Writ Petition (Detention),1,8,26,1,0,1,1,1,1,1,1,1,1,0.6473,1,52,1,1,1,0,1,1,1,0.8142,45,3.3786,236.77,1,1,4252914.62,0.159,0,1,1.8,4,3,7,0,1,1,1,0,8,0.2468,0.1123,3,1,1,0,1
NCRB-SYNTH-100264,High Court,Sec 439 CrPC (Regular Bail),1,7,32,0,0,1,1,1,1,1,1,1,1,0.5551,1,19,1,1,1,1,1,1,1,0.5998,130,6.8436,233.18,1,1,1134296.66,0.1879,0,1,5.95,4,2,3,1,1,1,1,0,4,0.1436,0.0892,3,1,1,0,0
NCRB-SYNTH-100269,Trial Court,Sec 439 CrPC (Regular Bail),7,23,18,1,0,1,1,1,0,1,1,1,1,0.6608,1,173,1,0,1,1,0,0,1,0.8036,78,4.5807,257.11,1,1,2737094.11,0.0798,0,1,2.88,5,2,6,0,1,0,0,1,6,0.0843,0.0433,5,1,1,1,1
NCRB-SYNTH-100275,High Court,Sec 439 CrPC (Regular Bail),1,4,83,1,0,1,1,1,0,1,1,1,1,0.4858,1,56,0,1,1,1,1,1,1,0.8507,45,5.4546,125.66,1,1,3747986.03,0.1989,1,1,14.31,2,4,7,1,1,0,0,1,29,0.3042,0.0894,4,1,1,0,0
NCRB-SYNTH-100276,High Court,Sec 482 CrPC (Quashing),15,20,36,1,0,1,1,1,0,1,1,1,1,0.71,1,163,1,1,1,1,1,1,1,0.6185,135,3.6059,101.41,1,1,3482496.71,0.068,0,1,7.07,4,2,4,1,1,1,1,0,30,0.0952,0.0277,4,1,1,0,1
NCRB-SYNTH-100283,High Court,Sec 482 CrPC (Quashing),1,9,87,1,0,1,1,1,0,1,1,1,1,0.8342,0,39,1,0,1,1,1,1,1,0.6589,73,5.6336,188.26,1,1,608102.54,0.1511,1,1,6.73,5,2,8,1,1,1,1,0,11,0.2188,0.0881,5,1,1,1,1
NCRB-SYNTH-100287,High Court,Sec 439 CrPC (Regular Bail),1,11,17,1,0,1,1,1,0,1,1,1,1,0.9135,1,88,1,1,1,1,1,1,1,0.5689,56,3.7919,159.3,1,1,375975.43,0.119,1,1,12.35,2,3,4,1,1,1,1,0,4,0.0521,0.0324,5,1,1,1,1
NCRB-SYNTH-100288,Trial Court,Trial Judgment,1,24,26,1,0,1,1,1,1,1,1,1,1,0.4086,1,23,0,0,1,1,1,1,1,0.7884,50,4.5951,241.06,1,1,2885994.07,0.0709,1,1,1.67,1,2,10,1,1,1,1,0,39,0.1456,0.0395,4,1,1,0,0
NCRB-SYNTH-100294,High Court,Sec 439 CrPC (Regular Bail),7,3,48,1,0,1,1,1,0,1,1,1,1,0.5602,0,136,1,1,1,1,1,1,1,0.8836,149,5.2042,147.06,1,1,4203102.48,0.1822,0,1,10.59,2,2,9,1,1,0,0,1,10,0.0532,0.0222,5,1,1,0,0
NCRB-SYNTH-100296,Trial Court,Writ Petition (Detention),7,11,28,0,0,1,1,1,0,1,1,1,1,0.7378,1,110,0,0,1,1,0,1,1,0.5975,88,3.3357,213.06,1,1,2693127.8,0.0409,1,1,3.15,5,3,7,1,1,1,1,0,6,0.1625,0.0835,3,1,1,0,0
NCRB-SYNTH-100302,Supreme Court,Writ Petition (Detention),1,3,66,1,0,1,1,1,0,1,1,1,1,0.7964,0,143,1,1,1,1,0,0,1,0.791,141,7.493,94.89,1,1,1889904.85,0.1394,0,1,3.05,5,4,10,1,1,1,1,0,7,0.1256,0.0604,5,1,1,0,1
NCRB-SYNTH-100303,High Court,Sec 439 CrPC (Regular Bail),27,7,76,1,1,1,1,1,0,1,1,1,1,0.708,1,57,1,0,1,1,1,1,1,0.5041,65,6.4863,117.35,1,1,3528466.27,0.0586,1,1,10.88,1,3,7,1,1,1,1,0,2,0.9229,0.8401,1,1,1,0,1
NCRB-SYNTH-100307,High Court,Sec 439 CrPC (Regular Bail),4,9,59,1,0,1,1,1,0,1,1,1,1,0.7608,1,88,0,0,1,1,0,1,1,0.5611,41,4.5233,255.25,1,1,4131639.65,0.0267,1,1,46.55,3,1,6,1,1,0,0,1,10,0.1032,0.0431,3,1,1,1,0
NCRB-SYNTH-100311,High Court,Sec 439 CrPC (Regular Bail),4,19,54,1,0,1,1,1,0,1,1,1,1,0.5066,1,42,1,1,1,0,0,1,1,0.5332,61,4.8224,209.59,1,1,362460.4,0.0905,0,1,6.61,4,1,7,1,1,1,1,0,30,0.1676,0.0488,4,1,1,0,0
NCRB-SYNTH-100317,Trial Court,Sec 439 CrPC (Regular Bail),2,9,86,1,0,1,1,1,0,1,1,1,1,0.5058,1,46,1,1,1,1,0,1,1,0.5607,67,3.7028,130.19,1,1,686587.82,0.0353,1,1,3.81,2,1,3,1,1,1,1,0,15,0.1913,0.069,4,1,1,0,0
NCRB-SYNTH-100321,High Court,Trial Judgment,1,16,62,1,1,1,1,1,1,1,1,1,1,0.6488,1,111,1,1,1,1,1,0,1,0.8578,116,3.5401,248.68,1,1,503027.54,0.1892,0,1,8.39,2,4,5,1,1,0,0,1,2,0.6409,0.5833,1,1,1,0,1
NCRB-SYNTH-100329,Trial Court,Sec 439 CrPC (Regular Bail),1,8,100,1,0,1,1,1,0,1,1,1,1,0.7376,1,17,1,1,1,1,1,0,1,0.6528,40,7.0587,263.13,1,1,3653886.49,0.178,0,1,2.05,2,1,4,1,1,1,1,0,8,0.2261,0.1029,3,1,1,0,1
NCRB-SYNTH-100331,High Court,Sec 439 CrPC (Regular Bail),4,4,76,1,0,1,1,1,0,1,1,1,1,0.7239,1,134,1,1,1,0,0,1,1,0.8659,47,7.4663,236.18,1,1,1435095.52,0.0494,1,1,19.41,2,4,2,0,1,0,0,1,41,0.1992,0.0533,4,1,1,0,1
NCRB-SYNTH-100339,High Court,Sec 439 CrPC (Regular Bail),1,13,90,1,0,1,1,1,0,1,1,1,1,0.4808,1,138,1,1,1,0,1,0,1,0.7091,63,7.3005,239.05,1,1,3713332.56,0.0416,1,1,12.67,3,4,7,1,1,1,1,0,20,0.1323,0.0435,4,1,1,1,0
NCRB-SYNTH-100341,Trial Court,Sec 439 CrPC (Regular Bail),1,3,24,1,0,1,1,1,0,1,1,1,1,0.82,1,150,1,1,1,1,1,1,1,0.7398,54,7.8514,122.42,1,1,1158128.69,0.1734,1,1,16.65,4,1,9,1,1,0,0,1,33,0.1577,0.0447,4,1,1,0,1
NCRB-SYNTH-100342,Trial Court,Sec 439 CrPC (Regular Bail),27,14,49,1,0,1,1,1,1,1,1,1,1,0.5613,0,162,1,1,1,1,0,1,1,0.8674,79,5.3424,104.54,1,1,1154852.29,0.0614,0,1,18.67,3,3,10,1,1,1,1,0,6,0.0523,0.0269,5,1,1,0,0
NCRB-SYNTH-100344,Trial Court,Sec 439 CrPC (Regular Bail),2,7,30,1,0,1,1,1,1,1,1,1,1,0.8069,1,61,0,0,1,1,1,1,1,0.629,123,5.9836,118.08,1,1,4410809.68,0.1024,0,1,4.19,1,3,7,1,1,1,1,0,8,0.1954,0.0889,5,1,1,1,0
NCRB-SYNTH-100345,Supreme Court,Sec 439 CrPC (Regular Bail),1,15,85,0,0,1,1,1,0,1,1,1,1,0.6026,1,52,1,0,1,1,1,0,1,0.671,98,4.7751,264.24,1,1,2394101.19,0.003,0,1,7.41,5,2,9,0,1,1,1,0,11,0.0871,0.035,5,1,1,0,1
NCRB-SYNTH-100349,Trial Court,Sec 482 CrPC (Quashing),2,25,35,1,0,1,1,1,1,1,1,1,1,0.5664,1,110,1,1,1,1,1,0,1,0.76,86,2.9929,214.92,1,1,1768834.41,0.117,1,1,13.2,2,4,4,1,1,0,0,1,11,0.1851,0.0745,5,1,1,0,0
NCRB-SYNTH-100351,High Court,Sec 439 CrPC (Regular Bail),7,11,86,1,0,1,1,1,1,1,1,1,1,0.7852,0,147,1,1,1,0,1,1,1,0.7799,61,6.963,232.51,1,1,741192.91,0.0465,1,1,30.96,5,3,8,1,1,1,1,0,10,0.0747,0.0311,5,1,1,0,1
NCRB-SYNTH-100361,High Court,Sec 439 CrPC (Regular Bail),1,24,63,1,0,1,1,1,0,1,1,1,1,0.5136,1,24,1,0,1,1,1,0,1,0.627,101,7.9594,175.72,1,1,1955474.46,0.1201,0,1,8.71,2,4,4,1,1,1,1,0,28,0.1491,0.0443,4,1,1,0,0
NCRB-SYNTH-100363,Trial Court,Sec 439 CrPC (Regular Bail),2,12,7,0,0,1,1,1,0,1,1,1,1,0.5998,1,166,0,1,1,1,1,0,1,0.7498,100,5.4591,276.61,1,1,2797492.29,0.1,1,1,25.91,5,1,5,1,1,1,1,0,8,0.1418,0.0645,5,1,1,0,0
NCRB-SYNTH-100364,Trial Court,Sec 482 CrPC (Quashing),2,11,22,1,0,1,1,1,0,1,1,1,1,0.4947,1,30,1,0,1,0,1,1,1,0.6239,88,6.6934,46.5,1,1,4241276.14,0.1028,1,1,3.25,1,3,3,1,1,1,1,0,5,0.1473,0.0822,5,1,1,0,0
NCRB-SYNTH-100366,High Court,Sec 439 CrPC (Regular Bail),4,6,88,1,0,1,1,1,1,1,1,1,1,0.8731,0,175,1,0,1,1,1,1,1,0.672,104,6.8016,132.71,1,1,4241640.16,0.1362,0,1,6.93,5,2,10,1,1,0,0,1,3,0.8093,0.5838,1,1,1,0,1
NCRB-SYNTH-100392,Trial Court,Sec 482 CrPC (Quashing),1,5,40,1,0,1,1,1,0,1,1,1,1,0.7138,1,98,1,1,1,1,0,0,1,0.9819,61,4.2155,216.42,1,1,3881489.55,0.0404,1,1,2.12,3,2,2,1,1,1,1,0,9,0.1116,0.0485,5,1,1,0,1
NCRB-SYNTH-100393,High Court,Sec 439 CrPC (Regular Bail),21,10,59,1,0,1,1,1,0,1,1,1,1,0.7992,1,105,1,1,1,1,0,1,1,0.3773,95,4.0808,272.65,1,1,1877941.25,0.0985,1,1,20.8,4,4,6,1,1,0,0,1,9,0.1325,0.0576,5,1,1,0,1
NCRB-SYNTH-100398,Trial Court,Sec 439 CrPC (Regular Bail),2,19,19,1,0,1,1,1,0,1,1,1,1,0.7674,1,70,1,1,1,1,1,1,1,0.7014,103,3.324,50.84,1,1,3917637.25,0.0481,1,1,5.57,3,1,2,1,1,1,1,0,11,0.1471,0.0592,5,1,1,1,1
NCRB-SYNTH-100403,Trial Court,Sec 482 CrPC (Quashing),1,17,61,1,0,1,1,1,0,1,1,1,1,0.5388,0,22,1,1,1,1,0,1,1,0.7792,63,7.2997,183.96,1,1,2196402.03,0.0886,0,1,24.25,1,1,9,1,1,0,0,1,9,0.0998,0.0433,5,1,1,0,0
NCRB-SYNTH-100407,High Court,Writ Petition (Detention),15,11,81,1,0,1,1,1,0,1,1,1,1,0.7078,1,35,1,1,1,1,0,1,1,0.6693,137,5.7895,214.74,1,1,4411910.39,0.0922,0,1,13.88,5,2,10,1,1,1,1,0,1,0.7237,1.0441,1,1,1,0,1
NCRB-SYNTH-100416,Trial Court,Sec 439 CrPC (Regular Bail),2,8,68,1,0,1,1,1,0,1,1,1,1,0.9283,1,30,1,1,1,1,1,1,1,0.654,150,4.5531,195.44,1,1,671159.34,0.1617,0,1,20.46,3,1,4,1,1,1,1,0,6,0.1416,0.0728,5,1,1,1,1
NCRB-SYNTH-100424,High Court,Sec 482 CrPC (Quashing),1,6,74,1,0,1,1,1,0,1,1,1,1,0.8689,1,30,0,0,1,0,1,1,1,0.6129,57,3.4568,110.88,1,1,3465872.67,0.0801,0,1,11.24,1,1,10,1,1,1,1,0,18,0.1587,0.0539,4,1,1,0,0
NCRB-SYNTH-100426,High Court,Trial Judgment,7,10,54,1,0,1,1,1,1,1,1,1,1,0.5356,1,77,1,1,1,1,1,1,1,0.6253,89,7.6648,151.87,1,1,2582546.36,0.1982,0,1,11.41,5,1,4,1,1,1,1,0,9,0.2337,0.1015,5,1,1,0,0
NCRB-SYNTH-100427,Trial Court,Sec 439 CrPC (Regular Bail),1,24,72,1,0,1,1,1,0,1,1,1,1,0.5582,1,63,1,0,1,1,1,0,1,0.6892,75,7.6575,214.3,1,1,2106651.82,0.1494,1,1,38.73,4,2,8,0,1,1,1,0,11,0.1082,0.0436,5,1,1,0,0
NCRB-SYNTH-100429,Trial Court,Sec 482 CrPC (Quashing),4,25,19,1,0,1,1,1,0,1,1,1,1,0.4196,1,173,1,1,1,1,1,1,1,0.6355,127,7.6642,239.87,1,1,4206518.76,0.0151,1,1,4.22,5,1,6,1,1,1,1,0,14,0.1816,0.0671,4,1,1,0,0
