case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,cybercrime_indicator,financial_fraud_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_420,ipc_468_471,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,internet_banking_software_targeted,banking_password_compromised,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,suspicious_credit_not_reported,bank_correction_request_absent,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fan_in_count,linked_beneficiary_account_count,it_act_66,it_act_66c,reasonable_doubt_identity_gap,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_high_risk_cyber_syndicate,label_public_order_vs_law_and_order,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100197,High Court,Sec 439 CrPC (Regular Bail),7,19,52,0,0,1,1,1,1,1,1,1,0.6916,0,25,1,1,0.0464,8,1.0917,33.65,1,1,2746600.48,0.6582,1,1,1,1,25.16,14,6,1,1,1,28,0.2925,0.0869,4,1,1,1,1
NCRB-SYNTH-100200,Supreme Court,Trial Judgment,2,14,100,1,0,1,1,1,0,1,1,1,0.4328,1,18,1,1,0.105,6,1.084,152.16,1,1,3902723.81,0.4445,1,1,1,1,4.28,5,7,1,1,1,7,0.1271,0.0611,3,1,1,0,0
NCRB-SYNTH-100215,High Court,Trial Judgment,2,3,44,1,0,1,1,1,0,1,1,1,0.4343,1,75,0,1,0.1036,3,1.0,131.64,1,1,7162229.01,0.7567,1,1,1,1,70.88,20,4,1,1,1,28,0.1255,0.0373,4,1,1,0,0
NCRB-SYNTH-100218,Supreme Court,Sec 482 CrPC (Quashing),7,24,11,1,0,1,1,1,0,1,1,1,0.5124,1,56,1,1,0.094,7,1.1947,157.89,1,1,8922249.86,0.4942,1,1,1,1,4.23,25,8,1,1,1,18,0.1063,0.0361,4,1,1,0,0
NCRB-SYNTH-100220,High Court,Sec 482 CrPC (Quashing),2,12,50,1,0,1,1,1,0,1,1,1,0.7128,1,47,1,1,0.005,4,1.0827,34.94,1,1,10009810.35,0.2027,1,1,1,1,23.11,5,3,1,1,1,18,0.1698,0.0577,4,1,1,0,1
NCRB-SYNTH-100231,High Court,Writ Petition (Detention),15,12,89,1,0,1,1,1,0,1,1,1,0.7715,1,74,0,0,0.1603,1,1.1892,45.67,1,1,2342982.93,0.5953,1,1,1,1,9.11,15,11,1,1,1,29,0.3069,0.0902,4,1,1,0,1
NCRB-SYNTH-100236,Trial Court,Sec 439 CrPC (Regular Bail),7,24,9,1,0,1,1,1,0,1,1,1,0.9191,1,96,1,1,0.1124,5,1.176,63.05,1,1,9307443.8,0.3189,1,1,1,1,1.23,13,7,1,1,1,38,0.2829,0.0772,4,1,1,0,1
NCRB-SYNTH-100266,High Court,Sec 439 CrPC (Regular Bail),15,20,58,1,0,1,1,1,0,1,1,1,0.5762,1,103,1,1,0.0622,8,1.2186,112.08,1,1,13320576.35,0.9041,1,1,1,1,2.04,22,15,1,1,1,13,0.1258,0.0477,4,1,1,0,0
NCRB-SYNTH-100268,High Court,Sec 439 CrPC (Regular Bail),4,14,23,1,0,1,1,1,0,1,1,1,0.412,1,48,0,0,0.1133,1,1.2003,62.31,1,1,1180725.51,0.3455,1,1,1,1,1.26,16,15,1,1,1,5,0.2021,0.1128,3,1,1,0,0
NCRB-SYNTH-100271,Trial Court,Sec 439 CrPC (Regular Bail),1,20,52,0,0,1,1,1,0,1,1,1,0.7871,0,171,1,1,0.0414,3,1.0,34.75,1,1,8940975.22,0.9381,1,1,1,1,2.33,12,3,1,1,1,1,0.5667,0.8176,1,1,1,1,1
NCRB-SYNTH-100272,High Court,Sec 439 CrPC (Regular Bail),4,11,11,1,0,1,1,1,0,1,1,1,0.5769,1,21,1,1,0.0134,5,1.0,57.88,1,1,12983997.96,0.8898,1,1,1,1,1.68,21,6,1,1,1,3,0.4769,0.344,1,1,1,0,0
NCRB-SYNTH-100277,High Court,Trial Judgment,2,4,26,1,0,1,1,1,0,1,1,1,0.8163,1,88,0,0,0.1842,3,1.1357,58.02,1,1,7883572.68,0.3352,1,1,1,1,11.2,16,8,1,1,1,12,0.1581,0.0616,4,1,1,0,1
NCRB-SYNTH-100279,Trial Court,Writ Petition (Detention),4,23,50,1,0,1,1,1,0,1,1,1,0.8875,1,32,1,1,0.1293,2,1.0,103.94,1,1,5023049.89,0.9586,1,1,1,1,20.87,14,8,1,1,1,22,0.1951,0.0622,4,1,1,0,1
NCRB-SYNTH-100280,High Court,Sec 482 CrPC (Quashing),7,16,89,1,1,1,1,1,0,1,1,1,0.4661,1,142,1,1,0.0332,1,1.0385,128.69,1,1,9715498.62,0.6267,1,1,1,1,15.99,17,10,1,1,1,8,0.061,0.0278,3,1,1,0,0
NCRB-SYNTH-100293,High Court,Sec 439 CrPC (Regular Bail),7,3,14,1,0,1,1,1,0,1,1,1,0.9577,1,78,1,1,0.126,6,1.173,116.87,1,1,8687598.45,0.1603,1,1,1,1,26.68,5,6,1,1,1,5,0.1787,0.0997,3,1,1,0,1
NCRB-SYNTH-100297,High Court,Writ Petition (Detention),1,18,63,1,0,1,1,1,0,1,1,1,0.87,1,160,1,1,0.0583,9,1.2022,53.55,1,1,2151666.67,0.8601,1,1,1,1,42.54,3,15,1,1,1,38,0.2046,0.0558,4,1,1,1,1
NCRB-SYNTH-100305,Trial Court,Sec 439 CrPC (Regular Bail),7,7,76,1,0,1,1,1,1,1,1,1,0.6705,1,82,1,1,0.0225,9,1.1728,89.26,1,1,1574907.41,0.925,1,1,1,1,20.81,14,4,1,1,1,44,0.2422,0.0636,4,1,1,0,1
NCRB-SYNTH-100309,Trial Court,Sec 482 CrPC (Quashing),4,22,53,1,0,1,1,1,0,1,1,1,0.451,0,82,0,0,0.001,7,1.0,80.14,1,1,5614296.23,0.1856,1,1,1,1,10.33,25,6,1,1,1,20,0.0967,0.0317,4,1,1,0,0
NCRB-SYNTH-100315,Trial Court,Sec 439 CrPC (Regular Bail),4,8,23,1,0,1,1,1,0,1,1,1,0.7034,1,137,1,1,0.0373,4,1.1433,70.34,1,1,4956815.16,0.6135,1,1,1,1,3.25,13,12,1,1,1,1,0.9499,1.3704,1,1,1,0,1
NCRB-SYNTH-100322,Trial Court,Sec 482 CrPC (Quashing),2,19,52,1,0,1,1,1,0,1,1,1,0.758,1,145,1,1,0.1503,1,1.1715,78.18,1,1,7202868.25,0.6674,1,1,1,1,21.87,9,6,1,1,1,16,0.1499,0.0529,4,1,1,0,1
NCRB-SYNTH-100326,Trial Court,Sec 482 CrPC (Quashing),4,22,97,1,0,1,1,1,1,1,1,1,0.6569,1,129,1,1,0.0712,5,1.0971,132.32,1,1,11513516.66,0.3639,1,1,1,1,6.22,24,9,1,1,1,14,0.2866,0.1058,4,1,1,0,1
NCRB-SYNTH-100332,High Court,Sec 439 CrPC (Regular Bail),7,8,100,0,0,1,1,1,1,1,1,1,0.5799,1,134,0,0,0.1047,6,1.3056,107.81,1,1,12698366.55,0.2876,1,1,1,1,10.36,23,3,1,1,1,28,0.2645,0.0785,4,1,1,0,0
NCRB-SYNTH-100338,High Court,Trial Judgment,7,11,16,1,0,1,1,1,1,1,1,1,0.5247,1,121,1,0,0.048,9,1.1771,67.74,1,1,4529394.41,0.5356,1,1,1,1,22.58,10,14,1,1,1,5,0.1278,0.0713,3,1,1,0,0
NCRB-SYNTH-100377,High Court,Sec 439 CrPC (Regular Bail),4,13,25,1,0,1,1,1,0,1,1,1,0.895,1,162,0,0,0.0959,4,1.0447,139.91,1,1,9766942.71,0.1565,1,1,1,1,26.96,7,14,1,1,1,1,0.6285,0.9067,1,1,1,1,1
NCRB-SYNTH-100379,Trial Court,Trial Judgment,7,13,61,1,0,1,1,1,0,1,1,1,0.9024,1,98,1,1,0.0806,3,1.0,155.18,1,1,6083849.92,0.9526,1,1,1,1,7.32,18,3,1,1,1,32,0.2965,0.0848,4,1,1,0,1
NCRB-SYNTH-100385,High Court,Sec 439 CrPC (Regular Bail),2,7,46,1,0,1,1,1,0,1,1,1,0.8654,1,22,1,1,0.0149,7,1.0,137.02,1,1,1032929.55,0.6153,1,1,1,1,35.49,23,10,1,1,1,1,0.8205,1.1837,1,1,1,0,1
NCRB-SYNTH-100386,Trial Court,Sec 439 CrPC (Regular Bail),15,25,66,1,0,1,1,1,1,1,1,1,0.9292,0,33,1,0,0.1131,9,1.0,173.77,1,1,13487152.96,0.1791,1,1,1,1,9.8,14,9,1,1,1,39,0.2287,0.062,4,1,1,0,1
NCRB-SYNTH-100389,High Court,Sec 439 CrPC (Regular Bail),7,21,34,1,0,1,1,1,0,1,1,1,0.7824,1,30,0,0,0.1235,5,1.0,149.7,1,1,7352050.39,0.8963,1,1,1,1,3.87,8,11,1,1,1,39,0.2971,0.0805,4,1,1,0,1
NCRB-SYNTH-100390,High Court,Sec 482 CrPC (Quashing),7,23,65,1,0,1,1,1,1,1,1,1,0.4748,1,17,1,1,0.1007,7,1.0547,142.28,1,1,9460204.52,0.8609,1,1,1,1,17.02,23,7,1,1,1,7,0.0756,0.0364,3,1,1,0,0
NCRB-SYNTH-100394,High Court,Sec 482 CrPC (Quashing),4,18,8,1,0,1,1,1,0,1,1,1,0.8065,1,140,1,1,0.1267,7,1.0,69.18,1,1,3962521.43,0.2169,1,1,1,1,10.55,18,5,1,1,1,4,0.2492,0.1548,3,1,1,0,1
NCRB-SYNTH-100399,Trial Court,Sec 439 CrPC (Regular Bail),2,6,75,1,0,1,1,1,1,1,1,1,0.5294,1,174,1,1,0.0661,6,1.1166,69.07,1,1,11875191.53,0.2018,1,1,1,1,16.4,6,7,1,1,1,8,0.199,0.0906,3,1,1,0,0
NCRB-SYNTH-100400,High Court,Sec 439 CrPC (Regular Bail),4,25,100,1,0,1,1,1,1,1,1,1,0.4314,0,67,0,0,0.0475,5,1.0491,87.8,1,1,4780273.48,0.3141,1,1,1,1,3.55,25,5,1,1,1,6,0.1895,0.0974,3,1,1,0,0
NCRB-SYNTH-100404,High Court,Sec 482 CrPC (Quashing),4,15,67,1,0,1,1,1,0,1,1,1,0.6648,1,91,1,1,0.0429,8,1.08,161.61,1,1,5657778.9,0.4257,1,1,1,1,1.61,7,5,1,1,1,16,0.1763,0.0622,4,1,1,0,1
NCRB-SYNTH-100420,High Court,Sec 482 CrPC (Quashing),2,22,21,1,0,1,1,1,0,1,1,1,0.5957,1,123,1,1,0.0932,2,1.1822,37.14,1,1,1103650.49,0.4368,1,1,1,1,14.87,22,8,1,1,1,1,0.5425,0.7827,1,1,1,0,0
NCRB-SYNTH-100421,High Court,Sec 439 CrPC (Regular Bail),2,7,57,1,1,1,1,1,0,1,1,1,0.6534,1,124,1,1,0.0888,8,1.0,161.34,1,1,10169183.93,0.3661,1,1,1,1,2.53,16,7,1,1,1,36,0.1001,0.0277,4,1,1,0,1
NCRB-SYNTH-100422,High Court,Sec 439 CrPC (Regular Bail),7,19,44,1,0,1,1,1,0,1,1,1,0.6697,1,46,0,0,0.0882,8,1.2408,85.0,1,1,8219019.1,0.8832,1,1,1,1,11.93,10,7,1,1,1,24,0.226,0.0702,4,1,1,0,1
NCRB-SYNTH-100432,Trial Court,Sec 439 CrPC (Regular Bail),1,3,76,1,0,1,1,1,0,1,1,1,0.7342,1,44,1,0,0.1356,9,1.2772,161.6,1,1,5673764.53,0.4827,1,1,1,1,9.64,14,7,1,1,1,4,0.2133,0.1326,3,1,1,0,1
NCRB-SYNTH-100436,High Court,Sec 439 CrPC (Regular Bail),15,24,38,1,0,1,1,1,1,1,1,1,0.7588,1,33,1,1,0.1291,4,1.0674,143.4,1,1,13644102.27,0.7291,1,1,1,1,2.05,15,5,1,1,1,8,0.2337,0.1064,3,1,1,0,1
NCRB-SYNTH-100438,Trial Court,Sec 439 CrPC (Regular Bail),2,6,34,0,0,1,1,1,1,1,1,1,0.5156,1,83,0,0,0.09,7,1.0,149.29,1,1,5976925.3,0.8897,1,1,1,1,4.62,17,11,1,1,1,24,0.0999,0.031,4,1,1,0,0
NCRB-SYNTH-100439,Trial Court,Sec 439 CrPC (Regular Bail),27,20,91,1,0,1,1,1,1,1,1,1,0.9401,1,47,1,0,0.1289,3,1.0,74.19,1,1,6845773.38,0.2518,1,1,1,1,2.87,20,14,1,1,1,12,0.293,0.1142,4,1,1,0,1
NCRB-SYNTH-100445,Trial Court,Trial Judgment,45,25,12,1,0,1,1,1,1,1,1,1,0.7268,1,83,1,1,0.0469,4,1.1514,125.48,1,1,886684.16,0.4922,1,1,1,1,6.37,14,7,1,1,1,4,0.1229,0.0764,3,1,1,0,1
NCRB-SYNTH-100448,Supreme Court,Sec 439 CrPC (Regular Bail),4,5,61,1,0,1,1,1,0,1,1,1,0.8096,1,118,1,1,0.103,8,1.1157,152.69,1,1,9945208.37,0.7874,1,1,1,1,4.33,16,5,1,1,1,31,0.2635,0.076,4,1,1,0,1
NCRB-SYNTH-100451,Trial Court,Sec 439 CrPC (Regular Bail),45,12,29,1,0,1,1,1,0,1,1,1,0.4161,1,123,1,1,0.0545,7,1.1324,172.92,1,1,4388077.77,0.5614,1,1,1,1,11.49,6,13,1,1,1,16,0.0902,0.0318,4,1,1,0,0
NCRB-SYNTH-100463,High Court,Sec 439 CrPC (Regular Bail),15,18,22,1,0,1,1,1,1,1,1,1,0.661,1,119,1,1,0.1358,5,1.0806,153.71,1,1,11664454.16,0.861,1,1,1,1,5.94,17,4,1,1,1,2,0.8311,0.7565,1,1,1,0,1
NCRB-SYNTH-100504,Supreme Court,Sec 439 CrPC (Regular Bail),1,17,79,1,0,1,1,1,0,1,1,1,0.759,1,80,0,0,0.0519,1,1.0477,134.92,1,1,6242434.38,0.2323,1,1,1,1,20.74,19,10,1,1,1,11,0.2421,0.0974,3,1,1,1,1
NCRB-SYNTH-100508,Supreme Court,Sec 439 CrPC (Regular Bail),21,13,22,1,0,1,1,1,0,1,1,1,0.9353,1,35,1,1,0.0459,4,1.1497,87.88,1,1,7745784.6,0.5515,1,1,1,1,12.58,19,15,1,1,1,4,0.0674,0.0418,3,1,1,0,1
NCRB-SYNTH-100510,High Court,Sec 482 CrPC (Quashing),1,24,19,1,0,1,1,1,1,1,1,1,0.4828,1,54,1,1,0.0905,5,1.1341,112.83,1,1,976570.75,0.3189,1,1,1,1,68.41,24,5,1,1,1,10,0.1999,0.0833,3,1,1,1,0
NCRB-SYNTH-100518,High Court,Sec 439 CrPC (Regular Bail),2,24,20,1,0,1,1,1,0,1,1,1,0.678,1,128,1,1,0.0309,3,1.1478,45.85,1,1,8782031.68,0.2338,1,1,1,1,10.76,6,15,1,1,1,5,0.1824,0.1018,3,1,1,0,1
NCRB-SYNTH-100524,Trial Court,Sec 482 CrPC (Quashing),4,5,18,1,0,1,1,1,1,1,1,1,0.5375,0,165,1,1,0.0843,5,1.0,117.51,1,1,1240150.94,0.2965,1,1,1,1,11.62,15,15,1,1,1,34,0.1666,0.0468,4,1,1,0,0
NCRB-SYNTH-100525,Trial Court,Writ Petition (Detention),1,3,51,1,0,1,1,1,1,1,1,1,0.6658,1,179,0,1,0.085,7,1.106,109.22,1,1,3371990.37,0.7061,1,1,1,1,2.97,10,15,1,1,1,6,0.2353,0.1209,3,1,1,0,1
NCRB-SYNTH-100531,High Court,Sec 439 CrPC (Regular Bail),2,17,81,1,0,1,1,1,1,1,1,1,0.6993,0,80,1,1,0.0905,7,1.1606,137.52,1,1,14947067.42,0.7107,1,1,1,1,11.77,10,9,1,1,1,39,0.2161,0.0586,4,1,1,0,1
NCRB-SYNTH-100535,High Court,Sec 439 CrPC (Regular Bail),27,20,34,1,0,1,1,1,1,1,1,1,0.575,0,89,0,1,0.1292,7,1.1027,119.64,1,1,3216251.06,0.8392,1,1,1,1,40.26,20,3,1,1,1,9,0.1524,0.0662,3,1,1,0,0
NCRB-SYNTH-100537,Trial Court,Writ Petition (Detention),45,20,50,1,0,1,1,1,0,1,1,1,0.4281,1,82,1,1,0.0552,8,1.2387,93.91,1,1,12254708.19,0.1897,1,1,1,1,4.4,23,15,1,1,1,2,0.7142,0.6501,1,1,1,0,0
NCRB-SYNTH-100550,High Court,Sec 482 CrPC (Quashing),7,11,97,1,0,1,1,1,1,1,1,1,0.875,1,87,1,1,0.0557,1,1.0,154.44,1,1,13003478.02,0.6019,1,1,1,1,24.02,18,12,1,1,1,16,0.2384,0.0841,4,1,1,0,1
NCRB-SYNTH-100559,High Court,Sec 439 CrPC (Regular Bail),4,23,66,1,0,1,1,1,1,1,1,1,0.5689,1,24,1,1,0.0813,3,1.0763,169.37,1,1,11009131.68,0.8262,1,1,1,1,22.29,25,14,1,1,1,43,0.1756,0.0464,4,1,1,0,0
NCRB-SYNTH-100561,High Court,Sec 439 CrPC (Regular Bail),21,6,85,1,0,1,1,1,0,1,1,1,0.5305,1,85,1,1,0.0925,5,1.1064,90.31,1,1,11273486.91,0.8761,1,1,1,1,3.15,16,13,1,1,1,7,0.2264,0.1089,3,1,1,0,0
NCRB-SYNTH-100572,High Court,Sec 482 CrPC (Quashing),2,24,73,1,0,1,1,1,1,1,1,1,0.6269,1,145,1,0,0.1654,9,1.2663,90.66,1,1,9802991.45,0.6383,1,1,1,1,4.52,18,10,1,1,1,2,0.6828,0.6215,1,1,1,0,1
NCRB-SYNTH-100612,High Court,Sec 482 CrPC (Quashing),21,11,23,1,0,1,1,1,0,1,1,1,0.7652,1,93,1,1,0.0853,4,1.0956,46.64,1,1,2697629.38,0.1745,1,1,1,1,7.13,16,12,1,1,1,2,0.7723,0.703,1,1,1,0,1
NCRB-SYNTH-100619,High Court,Sec 439 CrPC (Regular Bail),4,10,9,1,0,1,1,1,0,1,1,1,0.8763,1,27,1,1,0.0185,2,1.0821,114.77,1,1,789841.63,0.3944,1,1,1,1,3.45,12,14,1,1,1,9,0.0892,0.0387,3,1,1,0,1
NCRB-SYNTH-100620,High Court,Sec 439 CrPC (Regular Bail),15,9,29,1,0,1,1,1,1,1,1,1,0.8156,1,22,1,1,0.0024,9,1.0262,80.95,1,1,3657572.41,0.394,1,1,1,1,1.16,18,3,1,1,1,7,0.0644,0.0309,3,1,1,0,1
NCRB-SYNTH-100628,Supreme Court,Writ Petition (Detention),7,21,65,1,0,1,1,1,0,1,1,1,0.4262,1,103,1,1,0.1223,1,1.0986,45.29,1,1,4610589.46,0.2211,1,1,1,1,7.16,4,15,1,1,1,30,0.1785,0.052,4,1,1,0,0
NCRB-SYNTH-100631,Trial Court,Sec 439 CrPC (Regular Bail),27,17,19,1,0,1,1,1,0,1,1,1,0.7045,1,118,0,0,0.1245,5,1.0,126.0,1,1,14029206.67,0.19,1,1,1,1,6.53,20,4,1,1,1,44,0.3069,0.0806,4,1,1,0,1
