case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100043,Trial Court,Sec 482 CrPC (Quashing),2,2,2,0,1,0,0,1,0,1,0.6374,1,79,0,0,0.0891,4,1.2066,129.25,19148.22,0.1388,1,1,1,1,1,2,0,0,0,1,1,1,1,0,0,2,0.0994,0.0904,0,1,0
NCRB-SYNTH-100050,Trial Court,Sec 439 CrPC (Regular Bail),4,4,2,0,1,0,0,1,0,1,0.5839,0,106,1,1,0.1651,8,1.0756,90.84,28243.22,0.0681,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,2,0.0683,0.0622,2,1,0
NCRB-SYNTH-100057,Trial Court,Writ Petition (Detention),1,2,1,0,1,0,0,1,0,1,0.8567,1,49,0,0,0.1338,5,1.2529,53.96,10564.53,0.1848,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,3,0.0896,0.0646,2,1,0
NCRB-SYNTH-100058,Trial Court,Writ Petition (Detention),1,2,2,0,1,0,0,1,0,1,0.8157,1,153,1,1,0.028,7,1.125,143.96,18046.28,0.1843,0,1,1,1,0,3,0,0,0,1,1,0,0,0,0,1,0.0217,0.0312,2,1,0
NCRB-SYNTH-100059,High Court,Sec 439 CrPC (Regular Bail),1,2,2,0,1,0,0,1,0,0,0.6568,0,157,1,1,0.1449,9,1.0429,96.53,32018.82,0.0199,1,1,1,1,1,3,1,0,0,1,1,0,1,0,1,1,0.0275,0.0397,0,1,0
NCRB-SYNTH-100067,Trial Court,Sec 439 CrPC (Regular Bail),21,2,2,0,1,0,0,1,0,1,0.5411,1,110,0,0,0.1165,6,1.1889,169.32,12132.84,0.036,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,4,0.0576,0.0358,2,1,0
NCRB-SYNTH-100069,Trial Court,Sec 439 CrPC (Regular Bail),2,1,2,0,1,1,1,1,0,0,0.8976,1,73,0,0,0.1011,5,1.0497,99.51,31683.89,0.0325,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,2,0.0857,0.078,0,1,0
NCRB-SYNTH-100072,Trial Court,Writ Petition (Detention),4,2,1,0,1,0,0,1,0,0,0.7218,0,27,0,0,0.0748,2,1.0,134.35,5186.48,0.083,1,0,1,0,1,3,0,1,1,0,1,1,1,0,0,4,0.0992,0.0617,2,0,1
NCRB-SYNTH-100073,High Court,Sec 482 CrPC (Quashing),2,2,1,0,1,0,1,1,0,0,0.6784,1,131,0,0,0.0642,4,1.0,103.57,18595.31,0.0682,1,0,0,1,0,2,1,1,1,0,1,0,0,1,1,2,0.0498,0.0453,2,0,1
NCRB-SYNTH-100078,Trial Court,Sec 482 CrPC (Quashing),1,3,1,0,1,1,0,1,0,0,0.455,1,81,1,1,0.0349,2,1.0,33.33,25877.21,0.0159,0,1,1,1,0,2,0,0,0,1,1,1,1,0,1,2,0.0852,0.0776,0,1,0
NCRB-SYNTH-100080,Trial Court,Sec 482 CrPC (Quashing),1,3,2,0,1,1,0,1,0,0,0.7915,1,31,0,0,0.0575,8,1.1986,59.67,16127.37,0.0512,1,1,1,1,0,2,1,0,0,1,1,1,1,0,0,2,0.0821,0.0747,2,1,0
NCRB-SYNTH-100084,Trial Court,Trial Judgment,2,1,2,0,1,0,0,1,0,0,0.432,1,65,0,0,0.0427,8,1.1937,57.28,36612.95,0.1171,1,0,0,1,1,2,1,0,0,1,1,1,0,0,0,1,0.0842,0.1215,2,1,0
NCRB-SYNTH-100091,Trial Court,Sec 439 CrPC (Regular Bail),2,5,1,1,1,0,0,1,0,0,0.4557,1,160,1,1,0.0213,2,1.2248,107.62,42320.48,0.1727,1,1,1,1,1,2,1,0,0,1,1,0,1,0,1,3,0.077,0.0556,2,1,0
NCRB-SYNTH-100099,Trial Court,Writ Petition (Detention),2,5,1,0,1,0,1,1,0,0,0.6222,0,65,1,1,0.0916,4,1.029,76.37,13691.5,0.0031,0,1,1,1,0,4,0,0,0,1,1,0,0,0,0,2,0.0956,0.0871,2,1,0
NCRB-SYNTH-100100,Trial Court,Trial Judgment,2,4,1,0,1,0,0,1,0,1,0.6,1,138,1,0,0.0737,5,1.1413,88.02,14531.07,0.0008,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0.0536,0.0774,2,1,0
NCRB-SYNTH-100101,Trial Court,Sec 482 CrPC (Quashing),1,4,1,0,1,0,0,1,0,0,0.7483,1,19,0,1,0.1299,2,1.0687,164.12,35406.65,0.1365,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,3,0.0224,0.0162,2,1,0
NCRB-SYNTH-100110,Trial Court,Sec 439 CrPC (Regular Bail),7,5,2,0,1,0,1,1,0,1,0.5639,1,31,0,1,0.0233,2,1.2691,121.07,43638.35,0.0151,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0.0203,0.0185,0,1,0
NCRB-SYNTH-100112,Trial Court,Writ Petition (Detention),1,3,2,0,1,1,1,1,0,0,0.4238,1,92,0,1,0.0912,3,1.2408,133.61,25759.06,0.1054,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0139,0.0201,2,1,0
NCRB-SYNTH-100118,Trial Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,0,0,1,0,0,0.6257,1,137,0,0,0.0461,4,1.1498,72.89,5478.95,0.0991,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0.0619,0.0893,2,1,0
NCRB-SYNTH-100124,Trial Court,Writ Petition (Detention),7,4,1,0,1,0,1,1,0,0,0.6452,1,29,1,1,0.0757,5,1.0186,96.37,34228.56,0.1999,1,0,1,1,1,2,1,0,0,1,1,1,0,0,0,3,0.0444,0.0321,2,1,0
NCRB-SYNTH-100129,Trial Court,Sec 482 CrPC (Quashing),1,1,1,0,1,0,0,1,0,0,0.5138,1,51,0,0,0.0652,5,1.1579,79.04,27620.56,0.0748,1,1,1,1,1,3,0,0,0,1,0,0,0,0,0,2,0.0213,0.0194,2,1,0
NCRB-SYNTH-100133,Trial Court,Writ Petition (Detention),7,1,2,1,1,0,1,1,0,1,0.6671,0,39,0,0,0.066,1,1.1472,79.77,18316.76,0.0214,1,1,0,0,0,2,0,0,0,1,0,0,1,1,0,2,0.0576,0.0525,2,1,0
NCRB-SYNTH-100146,Trial Court,Writ Petition (Detention),2,2,2,0,1,0,0,1,0,0,0.6148,1,94,0,0,0.1196,1,1.0475,63.15,20705.78,0.1802,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,2,0.0433,0.0394,2,1,0
NCRB-SYNTH-100149,Trial Court,Writ Petition (Detention),2,4,2,1,1,1,1,1,0,1,0.9424,1,104,0,1,0.15,2,1.0,87.11,25013.08,0.0434,1,1,1,1,0,4,1,0,0,1,1,0,0,0,1,3,0.0357,0.0257,2,1,0
NCRB-SYNTH-100153,Trial Court,Writ Petition (Detention),1,3,2,0,1,0,0,1,0,0,0.777,1,41,1,1,0.0924,9,1.1306,50.47,10836.99,0.0127,1,0,1,1,0,4,1,0,0,1,1,1,0,1,0,2,0.0109,0.01,2,1,0
NCRB-SYNTH-100165,Trial Court,Writ Petition (Detention),45,3,2,0,1,1,0,1,0,1,0.8847,1,80,1,1,0.0673,2,1.0,53.89,27607.54,0.0338,1,1,1,1,1,2,0,0,0,1,1,1,0,1,0,3,0.0833,0.0601,2,1,0
NCRB-SYNTH-100168,Trial Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,0,1,1,0,1,0.787,0,19,0,0,0.0732,6,1.1087,85.67,40327.9,0.138,1,1,1,0,1,2,0,0,0,1,0,0,1,0,1,2,0.0184,0.0168,2,1,0
NCRB-SYNTH-100169,Trial Court,Writ Petition (Detention),2,2,1,0,1,0,1,1,0,0,0.8569,1,143,0,0,0.1367,5,1.2207,155.5,7475.45,0.0824,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,0.0134,0.0122,2,1,1
NCRB-SYNTH-100172,Trial Court,Sec 439 CrPC (Regular Bail),1,5,1,0,1,0,0,1,0,0,0.4869,1,90,0,0,0.1073,5,1.0424,76.09,42105.89,0.1529,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,3,0.0263,0.019,2,0,0
NCRB-SYNTH-100176,High Court,Writ Petition (Detention),1,4,1,0,1,1,1,1,0,1,0.8163,1,67,1,0,0.1253,4,1.142,114.61,19673.34,0.1627,1,1,1,0,1,2,0,0,0,1,1,1,1,0,0,1,0.0902,0.1301,0,1,0
NCRB-SYNTH-100180,Trial Court,Trial Judgment,21,3,2,1,1,0,1,1,0,1,0.4414,1,46,0,0,0.0099,2,1.1798,167.0,9078.56,0.0016,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,3,0.0778,0.0561,2,1,0
NCRB-SYNTH-100182,Trial Court,Trial Judgment,1,5,2,0,1,0,0,1,0,0,0.6772,0,121,1,1,0.0132,2,1.1325,53.45,21180.97,0.0212,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,4,0.0298,0.0185,2,1,0
NCRB-SYNTH-100191,Trial Court,Writ Petition (Detention),7,4,1,0,1,1,0,1,0,1,0.6516,1,141,0,1,0.0416,6,1.1176,147.96,23915.57,0.1668,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0.0656,0.0946,2,1,0
NCRB-SYNTH-100202,Trial Court,Sec 439 CrPC (Regular Bail),2,4,2,0,1,0,0,1,0,0,0.6467,1,30,0,0,0.1471,1,1.216,145.36,38460.7,0.0239,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0.0383,0.0349,2,1,0
NCRB-SYNTH-100203,Trial Court,Writ Petition (Detention),4,5,1,0,1,0,1,1,0,0,0.4367,1,175,1,1,0.0449,1,1.0134,30.17,13814.08,0.1856,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,2,0.0393,0.0357,2,1,0
NCRB-SYNTH-100206,Trial Court,Trial Judgment,2,5,1,0,1,1,1,1,0,0,0.6577,1,103,1,1,0.1418,2,1.0057,147.84,29408.8,0.1573,0,1,1,1,0,5,0,0,0,1,1,0,1,0,0,4,0.0277,0.0172,2,1,0
NCRB-SYNTH-100207,High Court,Sec 439 CrPC (Regular Bail),2,1,2,1,1,0,0,1,0,0,0.4703,1,98,0,0,0.0917,6,1.1617,146.07,26891.39,0.0164,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,4,0.0321,0.0199,2,1,0
NCRB-SYNTH-100209,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,0,1,0,1,0.786,1,72,1,1,0.0453,9,1.0752,114.66,6371.37,0.0849,1,1,1,1,0,2,1,0,0,1,1,0,1,1,0,3,0.0594,0.0429,2,1,0
NCRB-SYNTH-100210,Trial Court,Sec 482 CrPC (Quashing),2,1,2,0,1,0,0,1,1,1,0.8951,0,114,0,0,0.0594,2,1.0173,139.54,16081.65,0.1518,1,1,1,1,0,3,0,0,0,1,1,1,0,0,0,1,0.0828,0.1195,0,1,0
NCRB-SYNTH-100223,Trial Court,Writ Petition (Detention),1,1,1,0,1,0,1,1,0,0,0.4919,0,112,1,1,0.0343,5,1.1331,99.27,44689.14,0.0482,0,1,1,1,0,4,1,0,0,1,1,1,0,1,0,1,0.0505,0.0728,2,1,0
NCRB-SYNTH-100235,Trial Court,Sec 482 CrPC (Quashing),4,1,1,0,1,0,0,1,0,0,0.4101,1,32,0,0,0.116,6,1.0,63.77,13850.95,0.181,1,1,0,0,0,5,0,0,0,1,1,0,0,0,0,2,0.0897,0.0816,2,1,0
NCRB-SYNTH-100238,Trial Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,0,0,1,1,0,0.8891,1,116,0,1,0.0306,2,1.0064,169.6,40617.58,0.0577,1,0,1,1,1,2,1,0,0,1,1,1,0,1,0,1,0.0184,0.0265,2,1,0
NCRB-SYNTH-100240,Trial Court,Sec 482 CrPC (Quashing),45,3,2,0,1,0,0,1,0,1,0.5687,1,154,0,0,0.0366,4,1.0685,31.87,22760.55,0.0842,1,1,1,1,1,2,1,0,0,1,0,0,1,1,1,3,0.0475,0.0343,2,1,0
NCRB-SYNTH-100245,Trial Court,Sec 482 CrPC (Quashing),1,5,2,0,1,0,1,1,0,0,0.5571,1,81,0,0,0.111,1,1.1064,109.82,17845.31,0.0857,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,4,0.0352,0.0218,2,1,0
NCRB-SYNTH-100255,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,0,1,0,0,0.6628,0,154,1,1,0.1115,2,1.2613,160.63,12606.06,0.0143,1,1,1,1,0,2,0,0,0,1,1,1,0,0,0,4,0.0146,0.0091,0,1,0
NCRB-SYNTH-100260,High Court,Writ Petition (Detention),1,4,1,0,1,0,0,1,0,0,0.4414,1,183,0,0,0.0768,2,1.2336,139.44,15210.02,0.0115,1,1,0,1,0,2,0,0,0,1,1,1,0,0,0,2,0.0815,0.0742,2,1,0
NCRB-SYNTH-100263,Trial Court,Writ Petition (Detention),7,3,2,0,1,0,1,1,0,0,0.6406,1,90,1,1,0.0758,6,1.3724,113.41,40993.08,0.0785,1,0,1,1,1,2,0,1,1,0,1,0,0,0,0,3,0.0185,0.0133,2,1,0
NCRB-SYNTH-100284,Trial Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,0,0,1,0,0,0.9371,1,107,1,1,0.0262,4,1.1593,175.66,5839.02,0.1294,0,0,1,1,1,4,0,0,0,1,0,1,1,0,0,1,0.0653,0.0942,2,1,0
NCRB-SYNTH-100286,Trial Court,Writ Petition (Detention),1,2,2,0,1,0,0,1,0,0,0.7503,1,171,0,0,0.1143,4,1.0,110.11,24299.65,0.023,1,1,1,1,1,2,0,0,0,1,0,1,1,1,0,3,0.0965,0.0696,0,1,0
NCRB-SYNTH-100291,Trial Court,Sec 439 CrPC (Regular Bail),4,3,2,0,1,0,0,1,0,0,0.7501,1,127,0,0,0.0435,4,1.0204,86.97,11318.78,0.1429,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0.0416,0.06,2,1,0
NCRB-SYNTH-100292,High Court,Sec 482 CrPC (Quashing),2,5,2,0,1,1,0,1,0,1,0.669,1,110,0,0,0.1967,3,1.4241,105.84,29018.7,0.0958,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,4,0.0382,0.0237,2,1,0
NCRB-SYNTH-100295,Trial Court,Writ Petition (Detention),7,2,2,0,1,0,0,1,0,0,0.9158,1,173,0,0,0.0924,3,1.0,88.1,16785.7,0.032,1,0,1,1,0,5,0,1,1,0,0,0,1,0,0,1,0.0818,0.1181,2,1,1
NCRB-SYNTH-100300,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,0,0.7232,1,158,1,1,0.0047,3,1.0,121.73,43681.85,0.1115,1,1,1,1,0,5,0,0,0,1,1,0,0,0,0,1,0.0629,0.0908,2,1,0
NCRB-SYNTH-100301,Trial Court,Sec 482 CrPC (Quashing),1,2,1,0,1,0,0,1,0,0,0.6054,1,24,0,0,0.0773,4,1.0722,51.61,23015.19,0.0932,1,1,0,1,0,3,1,0,0,1,0,0,1,0,0,3,0.0921,0.0664,0,1,0
NCRB-SYNTH-100312,Trial Court,Sec 482 CrPC (Quashing),4,2,2,0,1,1,0,1,0,1,0.4774,1,128,1,1,0.1376,8,1.0,89.0,34943.84,0.0615,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,2,0.0884,0.0804,2,1,0
NCRB-SYNTH-100313,Trial Court,Sec 439 CrPC (Regular Bail),21,1,1,0,1,0,0,1,0,0,0.8592,1,111,0,0,0.1172,9,1.0692,119.61,10202.76,0.0179,1,1,1,1,0,2,0,0,0,1,1,1,0,0,0,4,0.0101,0.0063,0,1,0
NCRB-SYNTH-100318,Trial Court,Sec 482 CrPC (Quashing),1,3,2,0,1,0,0,1,1,1,0.4811,1,156,0,0,0.0775,7,1.1384,115.52,38842.3,0.1697,1,0,1,1,0,2,0,0,0,1,0,0,1,0,1,1,0.0185,0.0268,2,1,0
NCRB-SYNTH-100319,High Court,Sec 482 CrPC (Quashing),1,4,2,0,1,0,1,1,0,0,0.4555,1,108,0,0,0.123,8,1.3306,155.62,26292.83,0.0485,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,4,0.0882,0.0548,2,1,0
NCRB-SYNTH-100333,High Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,1,1,0,0,0.8401,1,157,0,0,0.0334,3,1.135,167.18,10711.28,0.1167,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,3,0.0778,0.0562,0,1,0
NCRB-SYNTH-100334,Trial Court,Sec 439 CrPC (Regular Bail),1,5,2,0,1,0,1,1,0,1,0.4562,1,164,0,0,0.1159,5,1.3562,144.11,40798.63,0.1032,1,1,1,1,0,2,0,0,0,1,1,0,1,0,0,3,0.0731,0.0527,2,1,0
NCRB-SYNTH-100335,Trial Court,Writ Petition (Detention),15,3,1,0,1,0,1,1,0,1,0.4856,1,65,0,0,0.0587,9,1.1719,149.78,34471.7,0.1263,1,1,1,1,0,2,1,0,0,1,0,1,1,0,0,3,0.0911,0.0657,0,1,0
NCRB-SYNTH-100336,Trial Court,Sec 482 CrPC (Quashing),1,4,2,1,1,1,0,1,0,0,0.5254,1,18,0,1,0.0864,1,1.0318,85.59,36817.03,0.0776,1,0,1,1,1,3,0,0,0,1,1,0,0,1,0,1,0.0358,0.0516,2,1,0
NCRB-SYNTH-100340,Trial Court,Writ Petition (Detention),2,4,1,0,1,0,1,1,0,1,0.5637,1,40,0,0,0.0474,6,1.0992,107.62,7165.01,0.0363,1,1,1,1,0,2,0,0,0,1,1,0,1,0,0,4,0.0876,0.0544,2,1,0
NCRB-SYNTH-100343,Trial Court,Writ Petition (Detention),7,1,1,1,1,0,0,1,0,0,0.5071,1,151,0,0,0.11,4,1.1481,66.48,22870.96,0.0122,1,1,1,1,1,4,1,0,0,1,0,1,0,1,0,4,0.0402,0.025,2,1,0
NCRB-SYNTH-100348,Trial Court,Sec 439 CrPC (Regular Bail),1,3,1,1,1,1,0,1,1,1,0.6553,0,132,0,0,0.007,1,1.1737,114.62,24177.68,0.1131,1,1,0,1,1,2,1,0,0,1,1,1,1,1,0,3,0.028,0.0202,2,1,0
NCRB-SYNTH-100354,Trial Court,Trial Judgment,4,3,1,0,1,1,0,1,0,0,0.4744,1,127,0,0,0.1186,7,1.1936,121.91,37752.31,0.1354,1,0,1,1,1,3,0,1,1,0,1,0,0,0,0,2,0.0681,0.062,2,1,0
NCRB-SYNTH-100355,Trial Court,Trial Judgment,1,3,2,0,1,0,1,1,0,0,0.5264,1,103,0,0,0.0814,6,1.0506,153.91,29039.85,0.1518,1,1,0,1,0,5,1,0,0,1,0,0,1,0,0,3,0.0748,0.054,0,1,0
NCRB-SYNTH-100357,High Court,Writ Petition (Detention),1,1,1,0,1,0,1,1,0,0,0.7785,1,136,0,0,0.0919,3,1.2525,118.6,29190.53,0.0516,1,1,0,1,1,2,0,0,0,1,0,0,1,0,1,1,0.0324,0.0467,0,1,0
NCRB-SYNTH-100369,High Court,Sec 482 CrPC (Quashing),2,1,1,0,1,0,0,1,0,0,0.7906,1,47,0,0,0.0444,2,1.1629,175.73,18505.79,0.1482,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,4,0.054,0.0335,2,1,0
NCRB-SYNTH-100370,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,0,0.7501,1,125,0,0,0.0694,6,1.0,88.37,33281.75,0.133,1,0,1,0,0,2,0,1,1,0,1,1,0,0,0,2,0.0967,0.088,2,0,1
NCRB-SYNTH-100371,High Court,Writ Petition (Detention),7,5,2,0,1,1,1,1,0,0,0.603,1,70,1,1,0.0647,4,1.2487,124.56,6234.39,0.1929,1,1,1,1,1,3,0,0,0,1,1,0,0,0,0,1,0.0638,0.092,2,1,0
NCRB-SYNTH-100372,Trial Court,Sec 439 CrPC (Regular Bail),1,5,2,0,1,0,0,1,0,0,0.7224,0,93,0,0,0.1349,2,1.0555,84.74,17815.61,0.0037,1,1,1,1,0,3,0,0,0,1,1,0,0,0,0,2,0.0923,0.084,2,1,0
NCRB-SYNTH-100373,Trial Court,Sec 439 CrPC (Regular Bail),2,1,2,0,1,1,0,1,0,0,0.5943,0,51,0,0,0.0076,9,1.0,57.25,9450.97,0.1654,0,1,1,1,0,2,0,0,0,1,1,0,1,0,0,3,0.0664,0.0479,2,1,0
NCRB-SYNTH-100375,Trial Court,Trial Judgment,1,2,2,1,1,0,0,1,1,0,0.5443,1,14,1,1,0.1025,4,1.061,42.78,16720.93,0.0313,1,1,0,0,1,2,1,0,0,1,1,0,0,0,0,4,0.0222,0.0138,2,1,0
NCRB-SYNTH-100378,Trial Court,Writ Petition (Detention),1,4,2,0,1,0,0,1,0,1,0.8446,0,124,0,0,0.1026,5,1.3166,84.43,25844.85,0.1565,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,3,0.0811,0.0585,0,1,0
NCRB-SYNTH-100381,High Court,Writ Petition (Detention),1,5,1,0,1,0,0,1,0,0,0.9149,1,80,1,1,0.0438,5,1.1319,54.05,23715.03,0.1218,1,1,1,1,0,2,1,0,0,1,1,0,0,0,0,1,0.0104,0.0151,2,1,0
NCRB-SYNTH-100388,Trial Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,0,0,1,0,0,0.496,1,48,0,0,0.1125,6,1.2192,127.67,24734.83,0.1841,1,0,1,1,0,2,0,0,0,1,1,0,1,0,0,2,0.0611,0.0556,2,1,0
NCRB-SYNTH-100401,High Court,Sec 439 CrPC (Regular Bail),15,3,1,0,1,0,0,1,0,1,0.6137,1,108,1,1,0.135,6,1.0,132.85,36246.68,0.1972,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,4,0.0684,0.0425,2,1,0
NCRB-SYNTH-100408,Trial Court,Trial Judgment,1,1,2,0,1,0,1,1,0,1,0.7323,1,82,0,0,0.1552,1,1.0,100.5,7173.23,0.166,1,1,1,1,1,2,1,0,0,1,0,0,1,0,1,1,0.0835,0.1205,0,1,0
NCRB-SYNTH-100410,Trial Court,Writ Petition (Detention),1,4,1,0,1,1,0,1,0,1,0.6848,1,120,0,1,0.1953,2,1.0579,129.3,17159.56,0.0678,0,1,1,1,1,3,0,0,0,1,1,1,0,0,0,3,0.0861,0.0621,2,1,0
NCRB-SYNTH-100423,Trial Court,Sec 439 CrPC (Regular Bail),4,4,2,0,1,1,1,1,0,1,0.8621,1,43,0,0,0.0913,7,1.1194,116.42,28886.24,0.1236,1,1,1,1,1,4,0,0,0,1,1,0,0,0,0,4,0.0503,0.0313,2,1,0
