case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,financial_fraud_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,it_act_66d,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_411,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-100109,High Court,Sec 482 CrPC (Quashing),1,4,2,0,1,1,0,0,1,1,1,1,0.4345,1,73,0,0,0.0569,3,1.2007,158.18,0,105023.75,0.0719,1,1,0,1,43,0.0822,0.0217,4,1,0
NCRB-SYNTH-100111,High Court,Sec 482 CrPC (Quashing),2,3,2,1,1,1,1,1,1,1,1,1,0.7564,1,126,1,0,0.0538,5,1.0,178.13,0,50271.96,0.1118,1,1,0,0,1,0.0546,0.0788,2,1,1
NCRB-SYNTH-100123,High Court,Writ Petition (Detention),1,3,1,0,1,1,1,0,1,1,1,0,0.4667,1,111,1,1,0.1453,5,1.0,84.27,1,132072.3,0.1378,1,1,0,1,3,0.0638,0.046,2,1,0
NCRB-SYNTH-100125,High Court,Trial Judgment,1,3,1,0,1,1,1,0,1,1,1,1,0.6607,1,129,1,1,0.1316,2,1.148,64.18,0,47510.59,0.1343,1,1,0,0,5,0.1399,0.0781,5,1,0
NCRB-SYNTH-100132,Supreme Court,Writ Petition (Detention),4,4,1,0,1,1,1,1,1,1,1,1,0.6276,0,177,0,0,0.1103,6,1.039,51.87,1,52383.88,0.1762,0,0,1,0,4,0.1546,0.096,5,1,0
NCRB-SYNTH-100134,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,0,0,1,1,1,1,0.6708,1,29,1,1,0.053,6,1.1184,131.38,0,139900.94,0.0301,0,0,1,0,3,0.0857,0.0618,2,1,0
NCRB-SYNTH-100136,Trial Court,Writ Petition (Detention),7,4,1,0,1,1,1,0,1,1,1,0,0.6723,1,128,0,0,0.1241,5,1.0,60.4,1,78472.59,0.0285,0,0,1,1,10,0.1281,0.0534,5,1,0
NCRB-SYNTH-100142,Trial Court,Writ Petition (Detention),2,1,2,0,1,1,1,1,1,1,1,1,0.4716,1,115,1,1,0.0704,9,1.2435,125.93,1,24070.07,0.0015,1,1,0,0,30,0.1062,0.0309,4,1,0
NCRB-SYNTH-100144,High Court,Writ Petition (Detention),4,4,1,0,1,1,1,0,1,1,1,1,0.9039,0,37,0,0,0.0,5,1.007,120.44,0,60718.96,0.0203,1,1,0,0,6,0.1588,0.0816,5,1,1
NCRB-SYNTH-100145,Trial Court,Writ Petition (Detention),1,5,2,0,1,1,0,1,1,1,1,1,0.8059,1,32,1,1,0.0676,7,1.3832,82.42,0,85648.89,0.1063,1,1,0,0,2,0.033,0.03,2,1,1
NCRB-SYNTH-100150,Trial Court,Writ Petition (Detention),1,5,1,0,1,1,0,0,1,1,1,1,0.9415,1,112,0,0,0.0672,3,1.1579,95.18,0,65276.36,0.0267,0,0,1,1,7,0.094,0.0452,5,1,1
NCRB-SYNTH-100152,Trial Court,Sec 439 CrPC (Regular Bail),1,1,1,0,1,1,1,1,1,1,1,1,0.6905,1,55,0,1,0.0493,8,1.1109,104.09,0,50136.81,0.0402,0,0,1,1,21,0.241,0.078,4,1,0
NCRB-SYNTH-100156,High Court,Writ Petition (Detention),21,5,1,0,1,1,0,0,1,1,1,1,0.6155,1,74,0,1,0.0482,6,1.0248,80.47,0,19838.33,0.1866,1,1,0,1,7,0.0645,0.031,5,1,0
NCRB-SYNTH-100159,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,1,0,1,1,1,0,0.3919,0,118,0,0,0.0784,4,1.2237,118.94,0,81503.1,0.1705,0,0,1,1,9,0.1303,0.0566,5,1,0
NCRB-SYNTH-100167,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,1,1,1,1,1,1,1,1,1,0.6269,1,128,0,1,0.06,8,1.1541,77.56,0,24239.08,0.1421,1,1,0,0,4,0.0308,0.0191,2,1,0
NCRB-SYNTH-100174,Trial Court,Trial Judgment,2,5,1,0,1,1,0,0,1,1,1,1,0.824,1,137,1,1,0.0895,6,1.199,79.27,0,132135.05,0.1054,0,0,1,0,19,0.2375,0.0793,4,1,1
NCRB-SYNTH-100181,High Court,Writ Petition (Detention),15,1,1,0,1,1,0,0,1,1,1,1,0.6725,1,38,1,1,0.2087,2,1.1444,138.08,0,63420.67,0.0346,1,1,0,1,4,0.0713,0.0443,5,1,0
NCRB-SYNTH-100185,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,1,0,1,1,1,1,0.5263,1,106,1,1,0.1285,2,1.2608,44.06,0,25890.22,0.1196,1,1,0,1,3,0.0608,0.0439,2,1,0
NCRB-SYNTH-100190,Trial Court,Trial Judgment,1,5,2,0,1,1,0,0,1,1,1,1,0.5922,1,163,0,1,0.1216,3,1.0182,152.55,0,23246.41,0.1327,1,1,0,1,3,0.0508,0.0366,2,1,0
NCRB-SYNTH-100195,High Court,Writ Petition (Detention),4,2,1,0,1,1,1,1,1,1,1,1,0.713,1,138,0,0,0.0896,7,1.0983,97.68,0,23686.27,0.0491,0,0,1,1,9,0.122,0.053,5,1,1
NCRB-SYNTH-100196,Trial Court,Sec 482 CrPC (Quashing),1,4,1,0,1,1,1,1,1,1,1,0,0.4511,1,25,0,0,0.0902,1,1.0981,141.1,0,104976.39,0.1423,1,1,0,0,10,0.0681,0.0284,5,1,0
NCRB-SYNTH-100214,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,0,0,1,1,1,1,0.6606,1,44,1,1,0.1263,6,1.0,106.69,0,24383.81,0.0716,1,1,0,1,32,0.3134,0.0896,4,1,0
NCRB-SYNTH-100216,High Court,Trial Judgment,1,4,1,0,1,1,0,0,1,1,1,0,0.5491,1,119,0,0,0.0727,6,1.2207,74.77,0,53534.48,0.0174,1,1,0,1,5,0.18,0.1005,5,1,0
NCRB-SYNTH-100217,Trial Court,Trial Judgment,1,3,2,0,1,1,0,0,1,1,1,1,0.4944,1,159,0,1,0.0838,4,1.0753,91.5,0,38575.01,0.0864,1,1,0,1,27,0.2689,0.0807,4,1,0
NCRB-SYNTH-100225,High Court,Sec 439 CrPC (Regular Bail),1,2,1,1,1,1,1,0,1,1,1,1,0.4648,0,126,0,0,0.1092,6,1.0,37.26,1,42840.73,0.1001,1,1,0,0,10,0.1895,0.079,5,1,0
NCRB-SYNTH-100226,Trial Court,Writ Petition (Detention),7,4,1,0,1,1,0,0,1,1,1,0,0.9334,1,98,1,1,0.0,3,1.0,100.21,1,93526.34,0.1019,0,0,1,1,6,0.055,0.0283,5,1,1
NCRB-SYNTH-100237,Trial Court,Sec 482 CrPC (Quashing),1,5,2,0,1,1,1,0,1,1,1,1,0.6952,1,178,0,0,0.1271,1,1.0736,60.62,0,145717.44,0.0905,1,1,0,0,8,0.0778,0.0354,5,1,0
NCRB-SYNTH-100251,High Court,Writ Petition (Detention),1,1,1,0,1,1,1,1,1,1,1,0,0.635,1,77,0,0,0.0318,3,1.1775,150.93,0,130345.52,0.1264,1,1,0,1,21,0.2446,0.0791,4,1,0
NCRB-SYNTH-100254,High Court,Sec 439 CrPC (Regular Bail),2,5,2,0,1,1,0,1,1,1,1,1,0.6018,0,41,1,1,0.1219,1,1.037,51.2,1,121709.23,0.1149,0,0,1,1,1,0.0448,0.0646,2,1,0
NCRB-SYNTH-100270,Trial Court,Trial Judgment,1,2,1,1,1,1,0,0,1,1,1,1,0.9153,1,99,0,1,0.0683,3,1.2496,142.46,1,38548.31,0.1664,1,1,0,1,25,0.1728,0.053,4,1,1
NCRB-SYNTH-100282,Trial Court,Sec 482 CrPC (Quashing),4,2,2,0,1,1,0,1,1,1,1,1,0.9561,1,78,0,0,0.0294,8,1.2093,106.02,0,49448.54,0.0659,1,1,0,1,30,0.3116,0.0907,4,1,1
NCRB-SYNTH-100289,High Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,1,1,0,1,1,1,1,0.989,0,176,0,0,0.0711,5,1.1544,154.76,0,49387.11,0.1833,1,1,0,1,2,0.0866,0.0788,2,1,1
NCRB-SYNTH-100298,High Court,Writ Petition (Detention),1,5,2,0,1,1,1,0,1,1,1,1,0.6429,1,55,0,0,0.1182,9,1.1282,79.9,1,131746.15,0.0765,1,1,0,0,8,0.1758,0.08,5,1,0
NCRB-SYNTH-100308,Trial Court,Sec 482 CrPC (Quashing),1,4,2,1,1,1,1,1,1,1,1,0,0.8695,1,116,0,0,0.127,2,1.1143,136.3,0,91531.41,0.1794,1,1,0,0,3,0.0425,0.0307,2,1,1
NCRB-SYNTH-100310,High Court,Sec 439 CrPC (Regular Bail),21,3,2,1,1,1,1,0,1,1,1,0,0.6834,1,125,0,1,0.1294,1,1.2605,109.29,0,23083.88,0.1131,1,1,0,0,1,0.0538,0.0776,2,1,0
NCRB-SYNTH-100320,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,1,0,1,1,1,1,0.8878,1,48,0,0,0.1202,6,1.1088,151.48,0,113962.57,0.0943,1,1,0,0,4,0.063,0.0392,2,1,1
NCRB-SYNTH-100324,Trial Court,Writ Petition (Detention),2,5,1,0,1,1,1,0,1,1,1,0,0.5868,1,8,1,1,0.04,5,1.1629,48.8,0,15452.22,0.0161,1,1,0,1,9,0.2055,0.0893,5,1,0
NCRB-SYNTH-100330,Trial Court,Writ Petition (Detention),2,4,1,0,1,1,0,1,1,1,1,0,0.9218,1,119,0,0,0.0653,4,1.0802,174.06,0,149649.46,0.0202,1,1,0,0,4,0.073,0.0454,2,1,1
NCRB-SYNTH-100376,Trial Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,1,1,1,1,1,1,0,0.4436,1,53,0,0,0.11,8,1.0,92.07,0,29494.02,0.0989,0,0,1,0,4,0.1418,0.0881,5,1,0
NCRB-SYNTH-100380,Trial Court,Sec 439 CrPC (Regular Bail),7,1,2,0,1,1,0,0,1,1,1,0,0.7178,1,164,0,0,0.1129,1,1.184,93.03,0,123394.22,0.0833,1,1,0,0,3,0.0115,0.0083,2,1,1
NCRB-SYNTH-100387,Trial Court,Trial Judgment,1,5,1,0,1,1,1,0,1,1,1,1,0.8608,1,21,0,0,0.1722,6,1.1661,66.49,1,34399.85,0.0417,0,0,1,0,9,0.0564,0.0245,5,1,1
NCRB-SYNTH-100395,Trial Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,1,0,0,1,1,1,0,0.4904,1,109,1,1,0.1274,7,1.0,164.93,1,93220.49,0.0733,1,1,0,1,4,0.0419,0.026,2,1,0
NCRB-SYNTH-100405,Trial Court,Sec 482 CrPC (Quashing),1,3,1,0,1,1,0,1,1,1,1,1,0.5218,1,110,1,1,0.0276,8,1.0,74.86,0,76511.45,0.0134,1,1,0,1,9,0.1626,0.0706,5,1,0
NCRB-SYNTH-100411,Trial Court,Writ Petition (Detention),1,4,1,0,1,1,1,0,1,1,1,1,0.7566,1,150,0,0,0.0353,7,1.0665,71.78,1,27210.4,0.0452,1,1,0,0,23,0.2957,0.093,4,1,1
NCRB-SYNTH-100417,Trial Court,Trial Judgment,1,2,2,0,1,1,0,1,1,1,1,1,0.8397,0,64,0,0,0.0819,3,1.1605,49.79,1,104264.91,0.0257,1,1,0,0,10,0.1066,0.0445,5,1,1
NCRB-SYNTH-100418,High Court,Sec 482 CrPC (Quashing),4,3,1,0,1,1,1,0,1,1,1,0,0.8447,0,47,1,0,0.0787,7,1.0,152.45,0,129784.67,0.1836,1,1,0,1,4,0.2286,0.142,5,1,1
NCRB-SYNTH-100467,Trial Court,Sec 439 CrPC (Regular Bail),1,1,1,0,1,1,1,0,1,1,1,1,0.8134,1,51,0,0,0.0564,1,1.0051,71.95,0,149950.88,0.1691,1,1,0,0,8,0.1156,0.0526,5,1,1
NCRB-SYNTH-100469,High Court,Sec 439 CrPC (Regular Bail),2,3,2,0,1,1,0,1,1,1,1,0,0.6111,1,41,1,1,0.1185,1,1.1428,143.96,1,77579.38,0.1942,0,0,1,0,3,0.0173,0.0125,2,1,0
NCRB-SYNTH-100488,Trial Court,Sec 439 CrPC (Regular Bail),1,1,1,0,1,1,1,1,1,1,1,1,0.7235,1,174,0,0,0.0922,5,1.0791,54.59,1,71529.89,0.0943,0,0,1,1,1,0.0596,0.0859,2,1,1
NCRB-SYNTH-100493,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,1,0,1,1,1,1,0.4466,1,46,1,0,0.1122,8,1.0,80.79,1,50158.17,0.0122,1,1,0,0,3,0.096,0.0692,2,1,0
NCRB-SYNTH-100503,Trial Court,Writ Petition (Detention),1,1,1,0,1,1,1,1,1,1,1,1,0.5997,1,155,0,0,0.0764,8,1.0,73.33,0,24046.68,0.1926,1,1,0,1,2,0.0109,0.0099,2,1,0
NCRB-SYNTH-100528,High Court,Sec 439 CrPC (Regular Bail),1,3,1,0,1,1,1,1,1,1,1,1,0.9618,1,71,1,1,0.0484,1,1.1319,70.34,0,25436.49,0.0367,1,1,0,0,3,0.049,0.0354,2,1,1
NCRB-SYNTH-100538,Trial Court,Sec 439 CrPC (Regular Bail),7,1,2,0,1,1,1,1,1,1,1,0,0.8339,1,142,1,1,0.1146,8,1.087,118.69,0,130584.39,0.1151,1,1,0,0,3,0.0553,0.0399,2,1,1
NCRB-SYNTH-100543,Trial Court,Sec 439 CrPC (Regular Bail),1,5,2,0,1,1,0,0,1,1,1,1,0.4295,1,16,0,0,0.0948,2,1.0,60.3,0,79719.73,0.167,1,1,0,1,1,0.0737,0.1063,2,1,0
NCRB-SYNTH-100562,High Court,Sec 482 CrPC (Quashing),21,1,2,0,1,1,1,0,1,1,1,1,0.4867,1,87,0,1,0.0668,4,1.0444,37.92,1,137080.19,0.004,1,1,0,1,4,0.1798,0.1117,5,1,0
NCRB-SYNTH-100570,High Court,Writ Petition (Detention),2,3,1,0,1,1,1,1,1,1,1,1,0.4327,1,67,1,1,0.0631,5,1.0311,41.31,1,107879.43,0.0941,1,1,0,1,2,0.024,0.0219,2,1,0
NCRB-SYNTH-100580,Supreme Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,1,1,0,1,1,1,0,0.5015,0,76,0,0,0.0608,3,1.0,123.72,0,77214.75,0.0415,1,1,0,0,1,0.0146,0.0211,2,1,0
NCRB-SYNTH-100584,Trial Court,Sec 439 CrPC (Regular Bail),2,5,1,0,1,1,1,0,1,1,1,1,0.5657,1,85,0,0,0.0612,7,1.1859,139.72,1,60315.94,0.0479,0,0,1,1,8,0.0594,0.027,5,1,0
NCRB-SYNTH-100586,Trial Court,Sec 439 CrPC (Regular Bail),1,3,1,0,1,1,1,1,1,1,1,0,0.6125,1,58,0,1,0.0465,7,1.2356,68.44,1,132617.79,0.1234,1,1,0,1,14,0.3108,0.1148,4,1,0
NCRB-SYNTH-100594,High Court,Writ Petition (Detention),2,5,2,0,1,1,0,0,1,1,1,1,0.4719,0,140,1,1,0.0665,6,1.0881,83.44,0,123607.82,0.1706,1,1,0,1,3,0.0946,0.0682,2,1,0
NCRB-SYNTH-100602,Trial Court,Trial Judgment,1,3,2,0,1,1,1,1,1,1,1,1,0.91,0,148,0,0,0.0814,8,1.0515,48.81,1,16621.06,0.0128,1,1,0,1,4,0.0121,0.0075,2,1,1
NCRB-SYNTH-100607,High Court,Sec 482 CrPC (Quashing),4,4,1,0,1,1,0,1,1,1,1,1,0.8988,1,185,1,1,0.0502,8,1.0112,78.09,1,107858.46,0.1703,0,0,1,1,43,0.1265,0.0334,4,1,1
NCRB-SYNTH-100618,High Court,Sec 439 CrPC (Regular Bail),2,1,1,0,1,1,0,0,1,1,1,1,0.8764,1,125,1,1,0.0565,2,1.0829,132.68,0,112393.69,0.1557,1,1,0,1,9,0.1687,0.0733,5,1,1
NCRB-SYNTH-100622,High Court,Writ Petition (Detention),1,3,2,0,1,1,0,0,1,1,1,0,0.5396,1,146,0,0,0.1644,4,1.1298,37.03,0,69372.47,0.1086,1,1,0,0,4,0.0682,0.0424,2,1,0
NCRB-SYNTH-100630,Trial Court,Writ Petition (Detention),7,3,2,0,1,1,1,1,1,1,1,0,0.8691,1,96,0,0,0.1554,7,1.2271,108.94,0,26612.39,0.0479,1,1,0,1,39,0.2688,0.0729,4,1,1
NCRB-SYNTH-100638,Trial Court,Sec 439 CrPC (Regular Bail),7,4,2,0,1,1,0,0,1,1,1,0,0.9386,1,72,1,1,0.0238,5,1.1621,100.14,0,103319.2,0.1612,1,1,0,1,4,0.0163,0.0101,2,1,1
NCRB-SYNTH-100639,High Court,Writ Petition (Detention),1,3,2,0,1,1,0,1,1,1,1,1,0.73,1,114,0,1,0.088,7,1.0,68.26,0,148497.75,0.0829,1,1,0,1,7,0.1061,0.051,5,1,1
NCRB-SYNTH-100642,Trial Court,Sec 482 CrPC (Quashing),1,5,2,0,1,1,0,0,1,1,1,1,0.9488,1,116,1,1,0.1285,9,1.0823,139.23,0,76860.23,0.0704,1,1,0,1,5,0.0732,0.0409,5,1,1
NCRB-SYNTH-100643,Trial Court,Sec 482 CrPC (Quashing),4,3,2,0,1,1,0,0,1,1,1,0,0.715,1,33,0,0,0.1178,2,1.1937,140.65,1,80926.81,0.1685,1,1,0,0,9,0.1635,0.071,5,1,1
NCRB-SYNTH-100644,Trial Court,Sec 439 CrPC (Regular Bail),1,2,2,0,1,1,1,1,1,1,1,0,0.8111,1,24,0,0,0.0751,7,1.2108,34.69,1,21402.3,0.1413,1,1,0,1,31,0.1016,0.0293,4,1,1
NCRB-SYNTH-100657,Trial Court,Writ Petition (Detention),1,1,2,0,1,1,1,1,1,1,1,0,0.4623,1,63,0,0,0.1067,1,1.0042,157.68,0,56625.91,0.0813,1,1,0,1,9,0.1654,0.0718,5,1,0
NCRB-SYNTH-100664,Trial Court,Writ Petition (Detention),2,4,2,0,1,1,0,1,1,1,1,1,0.6385,1,36,1,1,0.018,2,1.0856,118.48,0,49175.55,0.0915,0,0,1,1,13,0.1501,0.0569,4,1,0
NCRB-SYNTH-100667,High Court,Trial Judgment,1,5,1,0,1,1,1,0,1,1,1,1,0.6684,0,105,1,1,0.0475,7,1.1696,52.34,0,134931.53,0.1756,1,1,0,1,6,0.1782,0.0916,5,1,0
NCRB-SYNTH-100670,Trial Court,Sec 482 CrPC (Quashing),1,1,1,0,1,1,1,0,1,1,1,1,0.6398,1,60,0,0,0.0723,3,1.0,41.9,0,92910.44,0.0922,1,1,0,1,2,0.0328,0.0299,2,1,0
NCRB-SYNTH-100682,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,0,1,1,1,1,1,0.4456,1,92,0,0,0.1141,8,1.2625,54.37,0,109484.41,0.1705,0,0,1,1,4,0.0122,0.0076,2,1,0
NCRB-SYNTH-100688,Trial Court,Writ Petition (Detention),4,5,2,1,1,1,0,1,1,1,1,0,0.8194,1,144,0,0,0.04,1,1.0,98.76,0,135880.5,0.0592,1,1,0,1,4,0.0825,0.0512,2,1,1
NCRB-SYNTH-100691,Trial Court,Trial Judgment,15,1,1,1,1,1,1,1,1,1,1,0,0.6465,1,179,0,0,0.0799,9,1.0854,84.49,0,35436.64,0.0637,1,1,0,1,6,0.1932,0.0993,5,1,0
NCRB-SYNTH-100694,High Court,Writ Petition (Detention),21,4,2,0,1,1,1,0,1,1,1,1,0.386,0,65,0,0,0.0712,9,1.0339,116.93,1,135162.93,0.1253,1,1,0,1,2,0.0814,0.0741,2,1,0
NCRB-SYNTH-100697,High Court,Sec 439 CrPC (Regular Bail),1,2,2,0,1,1,1,1,1,1,1,1,0.3767,1,68,0,0,0.0678,4,1.0,37.1,0,136451.4,0.0208,0,0,1,0,4,0.0366,0.0228,2,1,0
NCRB-SYNTH-100703,Trial Court,Sec 482 CrPC (Quashing),2,2,2,0,1,1,1,0,1,1,1,1,0.5762,1,141,0,0,0.034,7,1.2101,43.66,0,118600.5,0.0762,1,1,0,0,2,0.0169,0.0154,2,1,0
NCRB-SYNTH-100707,High Court,Sec 439 CrPC (Regular Bail),27,5,1,0,1,1,1,0,1,1,1,1,0.801,0,132,0,1,0.0728,5,1.1959,103.88,0,52909.01,0.1995,1,1,0,1,8,0.2118,0.0964,5,1,1
NCRB-SYNTH-100709,Trial Court,Sec 439 CrPC (Regular Bail),2,2,2,0,1,1,1,0,1,1,1,1,0.6408,1,63,1,1,0.0597,4,1.3687,58.88,1,44771.6,0.1507,1,1,0,0,1,0.0911,0.1314,2,1,0
NCRB-SYNTH-100715,Supreme Court,Sec 482 CrPC (Quashing),1,4,1,0,1,1,1,1,1,1,1,1,0.8961,1,163,1,1,0.156,5,1.0,53.58,0,141086.16,0.0269,1,1,0,1,36,0.3083,0.0854,4,1,1
NCRB-SYNTH-100729,Trial Court,Writ Petition (Detention),7,2,2,0,1,1,1,0,1,1,1,1,0.8101,1,56,0,0,0.0953,5,1.1769,46.8,0,30356.45,0.1332,1,1,0,1,11,0.0916,0.0369,5,1,1
NCRB-SYNTH-100742,Trial Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,1,0,1,1,1,1,0,0.4986,0,94,0,0,0.1135,6,1.062,175.33,1,60746.52,0.1666,1,1,0,0,4,0.2255,0.1401,5,1,0
NCRB-SYNTH-100745,Trial Court,Sec 482 CrPC (Quashing),4,3,2,0,1,1,1,0,1,1,1,1,0.4493,1,60,0,0,0.0841,3,1.2246,170.99,0,136952.66,0.0495,1,1,0,0,6,0.0556,0.0286,5,1,0
NCRB-SYNTH-100754,High Court,Trial Judgment,1,2,1,0,1,1,1,1,1,1,1,1,0.836,1,126,0,0,0.0902,2,1.0321,102.98,0,53305.89,0.0835,1,1,0,0,4,0.0589,0.0366,5,1,1
NCRB-SYNTH-100762,Trial Court,Sec 482 CrPC (Quashing),7,1,1,0,1,1,1,0,1,1,1,0,0.4907,1,132,0,0,0.0,1,1.0023,171.44,0,66958.68,0.1553,1,1,0,1,30,0.1737,0.0506,4,1,0
NCRB-SYNTH-100763,High Court,Sec 439 CrPC (Regular Bail),7,1,2,0,1,1,1,1,1,1,1,1,0.6531,1,100,0,0,0.0563,7,1.2111,158.38,0,48624.11,0.1978,1,1,0,1,11,0.1581,0.0636,5,1,0
NCRB-SYNTH-100769,Trial Court,Writ Petition (Detention),1,4,1,0,1,1,1,1,1,1,1,1,0.6744,0,79,0,0,0.0342,3,1.0,39.46,0,18819.34,0.1183,1,1,0,0,26,0.1995,0.0605,4,1,0
NCRB-SYNTH-100777,High Court,Sec 439 CrPC (Regular Bail),4,2,1,0,1,1,0,0,1,1,1,0,0.8331,1,25,0,0,0.138,7,1.3254,38.01,0,46521.28,0.068,1,1,0,1,6,0.0664,0.0341,5,1,1
NCRB-SYNTH-100783,Trial Court,Writ Petition (Detention),1,5,2,1,1,1,0,1,1,1,1,0,0.9477,1,117,1,1,0.0628,7,1.022,120.25,0,138837.0,0.1424,1,1,0,0,10,0.2135,0.089,5,1,1
NCRB-SYNTH-100784,High Court,Writ Petition (Detention),1,1,2,0,1,1,1,0,1,1,1,1,0.8615,1,112,0,0,0.0901,3,1.305,170.96,0,109906.92,0.1259,1,1,0,1,6,0.1076,0.0553,5,1,1
